,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
0,Ignazio Abate,it ITA,"DF,MF",Milan,27,1986,23,21,"1,884",20.9,0,6,0,0,0,5,0,0.00,0.29,0.29,0.00,0.29,Matches,2014-2015
1,Christian Abbiati,it ITA,GK,Milan,37,1977,11,10,906,10.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2014-2015
2,Francesco Acerbi,it ITA,DF,Sassuolo,26,1988,32,32,"2,878",32.0,3,0,3,0,0,8,1,0.09,0.00,0.09,0.09,0.09,Matches,2014-2015
3,Afriyie Acquah,gh GHA,MF,Parma,22,1992,14,12,"1,119",12.4,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,Matches,2014-2015
4,Afriyie Acquah,gh GHA,MF,Sampdoria,22,1992,10,10,713,7.9,1,0,1,0,0,4,1,0.13,0.00,0.13,0.13,0.13,Matches,2014-2015
5,Federico Agliardi,it ITA,GK,Cesena,31,1983,10,9,870,9.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2014-2015
6,Alessandro Agostini,it ITA,DF,Hellas Verona,35,1979,22,21,"1,911",21.2,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,2014-2015
7,Rodrigo Aguirre,uy URU,FW,Empoli,19,1994,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2014-2015
8,Rodrigo Aguirre,uy URU,FW,Udinese,19,1994,7,1,222,2.5,1,0,1,0,0,2,0,0.41,0.00,0.41,0.41,0.41,Matches,2014-2015
9,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,23,1990,27,20,"1,874",20.8,1,1,1,0,0,5,1,0.05,0.05,0.10,0.05,0.10,Matches,2014-2015
10,Raúl Albiol,es ESP,DF,Napoli,28,1985,35,34,"3,100",34.4,0,1,0,0,0,10,0,0.00,0.03,0.03,0.00,0.03,Matches,2014-2015
11,Alex,br BRA,DF,Milan,32,1982,21,18,"1,394",15.5,1,0,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,Matches,2014-2015
12,Allan,br BRA,"DF,MF",Udinese,23,1991,35,33,"3,001",33.3,1,5,1,0,0,8,0,0.03,0.15,0.18,0.03,0.18,Matches,2014-2015
13,Hugo Almeida,pt POR,FW,Cesena,30,1984,10,7,684,7.6,0,1,0,0,0,0,0,0.00,0.13,0.13,0.00,0.13,Matches,2014-2015
14,Marcos Alonso,es ESP,"DF,MF",Fiorentina,23,1990,22,19,"1,681",18.7,1,3,1,0,0,4,0,0.05,0.16,0.21,0.05,0.21,Matches,2014-2015
