club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
VfL Wolfsburg,Obafemi Martins,24,Centre-Forward,Newcastle,€10.50m,in,Summer,10.5,1 Bundesliga,2009,2009/2010
VfL Wolfsburg,Karim Ziani,26,Attacking Midfield,Marseille,€7.00m,in,Summer,7,1 Bundesliga,2009,2009/2010
VfL Wolfsburg,Thomas Kahlenberg,26,Central Midfield,AJ Auxerre,€3.70m,in,Summer,3.7,1 Bundesliga,2009,2009/2010
VfL Wolfsburg,Fabian Johnson,21,Left Winger,1860 Munich,€1.10m,in,Summer,1.1,1 Bundesliga,2009,2009/2010
VfL Wolfsburg,Mahir Saglik,26,Centre-Forward,Karlsruher SC,"End of loanJun 30, 2009",in,Summer,0,1 Bundesliga,2009,2009/2010
VfL Wolfsburg,Jonathan Santana,27,Central Midfield,San Lorenzo,"End of loanJun 30, 2009",in,Summer,0,1 Bundesliga,2009,2009/2010
VfL Wolfsburg,Vlad Munteanu,28,Left Midfield,Arm. Bielefeld,"End of loanJun 30, 2009",in,Summer,0,1 Bundesliga,2009,2009/2010
VfL Wolfsburg,Christopher Lamprecht,24,Right-Back,1.FC K'lautern,"End of loanJun 30, 2009",in,Summer,0,1 Bundesliga,2009,2009/2010
VfL Wolfsburg,Alexander Laas,25,Left Midfield,Arm. Bielefeld,"End of loanJun 30, 2009",in,Summer,0,1 Bundesliga,2009,2009/2010
VfL Wolfsburg,Daniel Baier,25,Defensive Midfield,FC Augsburg,"End of loanJun 30, 2009",in,Summer,0,1 Bundesliga,2009,2009/2010
VfL Wolfsburg,Sergiu Radu,31,Centre-Forward,1. FC Köln,"End of loanJun 30, 2009",in,Summer,0,1 Bundesliga,2009,2009/2010
VfL Wolfsburg,Cédric Makiadi,25,Central Midfield,MSV Duisburg,"End of loanJun 30, 2009",in,Summer,0,1 Bundesliga,2009,2009/2010
VfL Wolfsburg,Rick Hoogendorp,34,Centre-Forward,ADO Den Haag,"End of loanJun 30, 2009",in,Summer,0,1 Bundesliga,2009,2009/2010
VfL Wolfsburg,Cristian Zaccardo,27,Centre-Back,Parma,€2.00m,out,Summer,2,1 Bundesliga,2009,2009/2010
VfL Wolfsburg,Cédric Makiadi,25,Central Midfield,SC Freiburg,€900Th.,out,Summer,0.9,1 Bundesliga,2009,2009/2010
VfL Wolfsburg,Rick Hoogendorp,34,Centre-Forward,Scheveningen,free transfer,out,Summer,NA,1 Bundesliga,2009,2009/2010
VfL Wolfsburg,Sergiu Radu,31,Centre-Forward,Energie Cottbus,free transfer,out,Summer,NA,1 Bundesliga,2009,2009/2010
VfL Wolfsburg,Christopher Lamprecht,24,Right-Back,Holstein Kiel,free transfer,out,Summer,NA,1 Bundesliga,2009,2009/2010
VfL Wolfsburg,Alex,29,Right-Back,Vit. Guimarães,free transfer,out,Summer,NA,1 Bundesliga,2009,2009/2010
VfL Wolfsburg,Kamani Hill,23,Centre-Forward,Vit. Guimarães,free transfer,out,Summer,NA,1 Bundesliga,2009,2009/2010
VfL Wolfsburg,Caiuby,20,Left Winger,MSV Duisburg,loan transfer,out,Summer,NA,1 Bundesliga,2009,2009/2010
VfL Wolfsburg,Daniel Adlung,21,Central Midfield,Alem. Aachen,loan transfer,out,Summer,NA,1 Bundesliga,2009,2009/2010
VfL Wolfsburg,Mahir Saglik,26,Centre-Forward,SC Paderborn,loan transfer,out,Summer,NA,1 Bundesliga,2009,2009/2010
VfL Wolfsburg,Patrick Platins,26,Goalkeeper,Without Club,-,out,Summer,0,1 Bundesliga,2009,2009/2010
VfL Bochum,Zlatko Dedic,24,Centre-Forward,Frosinone,€800Th.,in,Summer,0.8,1 Bundesliga,2009,2009/2010
VfL Bochum,Andreas Johansson,27,Centre-Back,Halmstads BK,€400Th.,in,Summer,0.4,1 Bundesliga,2009,2009/2010
VfL Bochum,Kevin Vogt,17,Centre-Back,VfL Bochum U19,-,in,Summer,0,1 Bundesliga,2009,2009/2010
VfL Bochum,Andreas Luthe,22,Goalkeeper,VfL Bochum II,-,in,Summer,0,1 Bundesliga,2009,2009/2010
VfL Bochum,Ivo Ilicevic,22,Left Winger,Greuther Fürth,"End of loanJun 30, 2009",in,Summer,0,1 Bundesliga,2009,2009/2010
VfL Bochum,Danny Fuchs,33,Left Winger,1.FC K'lautern,"End of loanJun 30, 2009",in,Summer,0,1 Bundesliga,2009,2009/2010
VfL Bochum,Heinrich Schmidtgal,23,Left-Back,RW Oberhausen,free transfer,out,Summer,NA,1 Bundesliga,2009,2009/2010
VfL Bochum,David Zajas,26,Defensive Midfield,Velbert 02,free transfer,out,Summer,NA,1 Bundesliga,2009,2009/2010
VfL Bochum,Danny Fuchs,33,Left Winger,1.FC K'lautern,free transfer,out,Summer,NA,1 Bundesliga,2009,2009/2010
VfL Bochum,Marcin Mieciel,33,Centre-Forward,Legia Warszawa,free transfer,out,Summer,NA,1 Bundesliga,2009,2009/2010
VfL Bochum,Oliver Schröder,29,Defensive Midfield,Hansa Rostock,free transfer,out,Summer,NA,1 Bundesliga,2009,2009/2010
VfL Bochum,Sinan Kaloglu,28,Centre-Forward,Vitesse,free transfer,out,Summer,NA,1 Bundesliga,2009,2009/2010
VfL Bochum,Ivo Ilicevic,22,Left Winger,1.FC K'lautern,loan transfer,out,Summer,NA,1 Bundesliga,2009,2009/2010
VfL Bochum,Andreas Lengsfeld,23,Goalkeeper,Without Club,-,out,Summer,0,1 Bundesliga,2009,2009/2010
Hertha BSC,Adrián Ramos,23,Centre-Forward,CD América,€2.00m,in,Summer,2,1 Bundesliga,2009,2009/2010
Hertha BSC,Artur Wichniarek,32,Centre-Forward,Arm. Bielefeld,€700Th.,in,Summer,0.7,1 Bundesliga,2009,2009/2010
Hertha BSC,Rasmus Bengtsson,23,Centre-Back,Trelleborg,€460Th.,in,Summer,0.46,1 Bundesliga,2009,2009/2010
Hertha BSC,Nemanja Pejcinovic,21,Centre-Back,Rad,Loan fee:€350Th.,in,Summer,0.35,1 Bundesliga,2009,2009/2010
Hertha BSC,Florian Kringe,27,Central Midfield,Bor. Dortmund,Loan fee:€200Th.,in,Summer,0.2,1 Bundesliga,2009,2009/2010
Hertha BSC,Christoph Janker,24,Centre-Back,TSG Hoffenheim,free transfer,in,Summer,NA,1 Bundesliga,2009,2009/2010
Hertha BSC,César,30,Left Midfield,Al-Ahli (UAE),free transfer,in,Summer,NA,1 Bundesliga,2009,2009/2010
Hertha BSC,Timo Ochs,27,Goalkeeper,Without Club,-,in,Summer,0,1 Bundesliga,2009,2009/2010
Hertha BSC,Fanol Perdedaj,17,Central Midfield,Hertha BSC U19,-,in,Summer,0,1 Bundesliga,2009,2009/2010
Hertha BSC,André Lima,24,Centre-Forward,São Paulo,"End of loanJun 1, 2009",in,Summer,0,1 Bundesliga,2009,2009/2010
Hertha BSC,Josip Simunic,31,Centre-Back,TSG Hoffenheim,€7.00m,out,Summer,7,1 Bundesliga,2009,2009/2010
Hertha BSC,Amine Chermiti,21,Centre-Forward,Ittihad,Loan fee:€900Th.,out,Summer,0.9,1 Bundesliga,2009,2009/2010
Hertha BSC,Lúcio,30,Left-Back,Grêmio,Loan fee:€250Th.,out,Summer,0.25,1 Bundesliga,2009,2009/2010
Hertha BSC,Rodnei,23,Centre-Back,1.FC K'lautern,Loan fee:€200Th.,out,Summer,0.2,1 Bundesliga,2009,2009/2010
Hertha BSC,André Lima,24,Centre-Forward,Botafogo,Loan fee:€150Th.,out,Summer,0.15,1 Bundesliga,2009,2009/2010
Hertha BSC,Ibrahima Traoré,21,Right Winger,FC Augsburg,€50Th.,out,Summer,0.05,1 Bundesliga,2009,2009/2010
Hertha BSC,Marko Pantelic,30,Centre-Forward,Ajax,free transfer,out,Summer,NA,1 Bundesliga,2009,2009/2010
Hertha BSC,Sofian Chahed,26,Right-Back,Hannover 96,free transfer,out,Summer,NA,1 Bundesliga,2009,2009/2010
Hertha BSC,Marko Babic,28,Left Midfield,Real Zaragoza,free transfer,out,Summer,NA,1 Bundesliga,2009,2009/2010
Hertha BSC,Florian Riedel,19,Right-Back,Hertha BSC II,-,out,Summer,0,1 Bundesliga,2009,2009/2010
Hertha BSC,Christian Fiedler,34,Goalkeeper,Retired,-,out,Summer,0,1 Bundesliga,2009,2009/2010
Hertha BSC,Leandro Cufré,31,Left-Back,Monaco,"End of loanJun 30, 2009",out,Summer,0,1 Bundesliga,2009,2009/2010
Hertha BSC,Andriy Voronin,29,Second Striker,Liverpool,"End of loanJun 30, 2009",out,Summer,0,1 Bundesliga,2009,2009/2010
Bayern Munich,Mario Gómez,23,Centre-Forward,VfB Stuttgart,€30.00m,in,Summer,30,1 Bundesliga,2009,2009/2010
Bayern Munich,Arjen Robben,25,Right Winger,Real Madrid,€25.00m,in,Summer,25,1 Bundesliga,2009,2009/2010
Bayern Munich,Anatoliy Tymoshchuk,30,Defensive Midfield,Zenit S-Pb,€11.00m,in,Summer,11,1 Bundesliga,2009,2009/2010
Bayern Munich,Danijel Pranjic,27,Left-Back,Heerenveen,€7.70m,in,Summer,7.7,1 Bundesliga,2009,2009/2010
Bayern Munich,Edson Braafheid,26,Left-Back,Twente FC,€2.00m,in,Summer,2,1 Bundesliga,2009,2009/2010
Bayern Munich,Ivica Olic,29,Centre-Forward,Hamburger SV,free transfer,in,Summer,NA,1 Bundesliga,2009,2009/2010
Bayern Munich,Alexander Baumjohann,22,Attacking Midfield,Bor. M'gladbach,free transfer,in,Summer,NA,1 Bundesliga,2009,2009/2010
Bayern Munich,Holger Badstuber,20,Centre-Back,FC Bayern II,-,in,Summer,0,1 Bundesliga,2009,2009/2010
Bayern Munich,Thomas Müller,19,Second Striker,FC Bayern II,-,in,Summer,0,1 Bundesliga,2009,2009/2010
Bayern Munich,Mats Hummels,20,Centre-Back,Bor. Dortmund,"End of loanJun 30, 2009",in,Summer,0,1 Bundesliga,2009,2009/2010
Bayern Munich,Andreas Görlitz,27,Right-Back,Karlsruher SC,"End of loanJun 30, 2009",in,Summer,0,1 Bundesliga,2009,2009/2010
Bayern Munich,Lukas Podolski,24,Attacking Midfield,1. FC Köln,€10.00m,out,Summer,10,1 Bundesliga,2009,2009/2010
Bayern Munich,Lúcio,31,Centre-Back,Inter,€7.00m,out,Summer,7,1 Bundesliga,2009,2009/2010
Bayern Munich,Mats Hummels,20,Centre-Back,Bor. Dortmund,€4.20m,out,Summer,4.2,1 Bundesliga,2009,2009/2010
Bayern Munich,Tim Borowski,29,Central Midfield,Werder Bremen,€750Th.,out,Summer,0.75,1 Bundesliga,2009,2009/2010
Bayern Munich,José Sosa,24,Central Midfield,Estudiantes,loan transfer,out,Summer,NA,1 Bundesliga,2009,2009/2010
Bayern Munich,Zé Roberto,34,Left Midfield,Nacional,"End of loanJun 30, 2009",out,Summer,0,1 Bundesliga,2009,2009/2010
Bayern Munich,Massimo Oddo,33,Right-Back,AC Milan,"End of loanJun 30, 2009",out,Summer,0,1 Bundesliga,2009,2009/2010
VfB Stuttgart,Zdravko Kuzmanovic,21,Central Midfield,Fiorentina,€8.00m,in,Summer,8,1 Bundesliga,2009,2009/2010
VfB Stuttgart,Pavel Pogrebnyak,25,Centre-Forward,Zenit S-Pb,€4.80m,in,Summer,4.8,1 Bundesliga,2009,2009/2010
VfB Stuttgart,Stefano Celozzi,20,Right-Back,Karlsruher SC,€2.50m,in,Summer,2.5,1 Bundesliga,2009,2009/2010
VfB Stuttgart,Aleksandr Hleb,28,Attacking Midfield,Barcelona,Loan fee:€2.00m,in,Summer,2,1 Bundesliga,2009,2009/2010
VfB Stuttgart,Alessandro Riedle,17,Central Midfield,Grasshoppers,€300Th.,in,Summer,0.3,1 Bundesliga,2009,2009/2010
VfB Stuttgart,Matthias Schwarz,21,Central Midfield,FC Ingolstadt,free transfer,in,Summer,NA,1 Bundesliga,2009,2009/2010
VfB Stuttgart,Daniel Didavi,19,Attacking Midfield,Stuttgart II,-,in,Summer,0,1 Bundesliga,2009,2009/2010
VfB Stuttgart,Patrick Funk,19,Defensive Midfield,Stuttgart II,-,in,Summer,0,1 Bundesliga,2009,2009/2010
VfB Stuttgart,Clemens Walch,21,Right Midfield,Stuttgart II,-,in,Summer,0,1 Bundesliga,2009,2009/2010
VfB Stuttgart,Manuel Fischer,19,Centre-Forward,TuS Koblenz,"End of loanJun 30, 2009",in,Summer,0,1 Bundesliga,2009,2009/2010
VfB Stuttgart,Mario Gómez,23,Centre-Forward,FC Bayern,€30.00m,out,Summer,30,1 Bundesliga,2009,2009/2010
VfB Stuttgart,Danijel Ljuboja,30,Centre-Forward,Grenoble,free transfer,out,Summer,NA,1 Bundesliga,2009,2009/2010
VfB Stuttgart,Georges Mandjeck,20,Defensive Midfield,1.FC K'lautern,loan transfer,out,Summer,NA,1 Bundesliga,2009,2009/2010
VfB Stuttgart,Manuel Fischer,19,Centre-Forward,Stuttgart II,-,out,Summer,0,1 Bundesliga,2009,2009/2010
Hamburger SV,Marcus Berg,22,Centre-Forward,FC Groningen,€10.00m,in,Summer,10,1 Bundesliga,2009,2009/2010
Hamburger SV,Eljero Elia,22,Left Winger,Twente FC,€9.00m,in,Summer,9,1 Bundesliga,2009,2009/2010
Hamburger SV,David Rozehnal,29,Centre-Back,Lazio,€6.00m,in,Summer,6,1 Bundesliga,2009,2009/2010
Hamburger SV,Zé Roberto,34,Left Midfield,Nacional,€4.00m,in,Summer,4,1 Bundesliga,2009,2009/2010
Hamburger SV,Robert Tesche,22,Central Midfield,Arm. Bielefeld,€1.00m,in,Summer,1,1 Bundesliga,2009,2009/2010
