club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Chelsea FC,Chris Sutton,26,Centre-Forward,Blackburn,€15.00m,in,Summer,15,Premier League,1999,1999/2000
Chelsea FC,Gabriele Ambrosetti,25,Left Midfield,Vicenza,€4.89m,in,Summer,4.89,Premier League,1999,1999/2000
Chelsea FC,Didier Deschamps,30,Defensive Midfield,Juventus,€2.00m,in,Summer,2,Premier League,1999,1999/2000
Chelsea FC,Jes Högh,33,Centre-Back,Fenerbahce,€470Th.,in,Summer,0.47,Premier League,1999,1999/2000
Chelsea FC,Mario Melchiot,22,Right-Back,Ajax,free transfer,in,Summer,NA,Premier League,1999,1999/2000
Chelsea FC,Stuart Reddington,21,defence,Lincoln United,?,in,Summer,NA,Premier League,1999,1999/2000
Chelsea FC,Carlo Cudicini,25,Goalkeeper,Castel di Sangro,loan transfer,in,Summer,NA,Premier League,1999,1999/2000
Chelsea FC,Leon Knight,16,Centre-Forward,Chelsea U18,-,in,Summer,0,Premier League,1999,1999/2000
Chelsea FC,Samuele Dalla Bona,18,Central Midfield,Chelsea U18,-,in,Summer,0,Premier League,1999,1999/2000
Chelsea FC,Danny Slatter,18,midfield,Chelsea U18,-,in,Summer,0,Premier League,1999,1999/2000
Chelsea FC,Joe Keenan,16,Left-Back,Chelsea U18,-,in,Summer,0,Premier League,1999,1999/2000
Chelsea FC,John Terry,19,Centre-Back,Nottm Forest,"End of loanMay 31, 2000",in,Summer,0,Premier League,1999,1999/2000
Chelsea FC,Mark Nicholls,22,Centre-Forward,Grimsby Town,"End of loanMay 8, 2000",in,Summer,0,Premier League,1999,1999/2000
Chelsea FC,Michael Duberry,23,Centre-Back,Leeds,€6.75m,out,Summer,6.75,Premier League,1999,1999/2000
Chelsea FC,Andy Myers,25,Left-Back,Bradford,free transfer,out,Summer,NA,Premier League,1999,1999/2000
Chelsea FC,Dmitri Kharin,30,Goalkeeper,Celtic,free transfer,out,Summer,NA,Premier League,1999,1999/2000
Chelsea FC,Stuart Reddington,22,defence,Kalmar FF,loan transfer,out,Summer,NA,Premier League,1999,1999/2000
Chelsea FC,Eddie Newton,27,Defensive Midfield,Birmingham,?,out,Summer,NA,Premier League,1999,1999/2000
Chelsea FC,Gianluca Vialli,34,Centre-Forward,Retired,-,out,Summer,0,Premier League,1999,1999/2000
Chelsea FC,Carlo Cudicini,26,Goalkeeper,Castel di Sangro,"End of loanMay 1, 2000",out,Summer,0,Premier League,1999,1999/2000
Sheffield Wednesday,Gilles De Bilde,28,Centre-Forward,PSV Eindhoven,€5.00m,in,Summer,5,Premier League,1999,1999/2000
Sheffield Wednesday,Gerald Sibon,25,Centre-Forward,Ajax,€3.00m,in,Summer,3,Premier League,1999,1999/2000
Sheffield Wednesday,Simon Donnelly,24,Right Winger,Celtic,free transfer,in,Summer,NA,Premier League,1999,1999/2000
Sheffield Wednesday,Phil O'Donnell,27,Central Midfield,Celtic,free transfer,in,Summer,NA,Premier League,1999,1999/2000
Sheffield Wednesday,Alex Higgins,17,midfield,Unknown,?,in,Summer,NA,Premier League,1999,1999/2000
Sheffield Wednesday,Steve Haslam,19,Right-Back,Sheff Wed U18,-,in,Summer,0,Premier League,1999,1999/2000
Sheffield Wednesday,Tony Crane,16,defence,Sheff Wed U18,-,in,Summer,0,Premier League,1999,1999/2000
Sheffield Wednesday,Junior Agogo,20,Centre-Forward,Oldham Athletic,"End of loanAug 1, 1999",in,Summer,0,Premier League,1999,1999/2000
Sheffield Wednesday,Junior Agogo,20,Centre-Forward,Chester City,"End of loanOct 1, 1999",in,Summer,0,Premier League,1999,1999/2000
Sheffield Wednesday,Ritchie Humphreys,21,Defensive Midfield,Scunthorpe Utd.,"End of loanSep 1, 1999",in,Summer,0,Premier League,1999,1999/2000
Sheffield Wednesday,Matt Clarke,25,Goalkeeper,Bradford,free transfer,out,Summer,NA,Premier League,1999,1999/2000
Sheffield Wednesday,Dejan Stefanovic,24,Centre-Back,OFK Beograd,free transfer,out,Summer,NA,Premier League,1999,1999/2000
Sheffield Wednesday,Neil Sykes,24,Left Midfield,Central United,free transfer,out,Summer,NA,Premier League,1999,1999/2000
Sheffield Wednesday,Guy Whittingham,34,Centre-Forward,Portsmouth,free transfer,out,Summer,NA,Premier League,1999,1999/2000
Sheffield Wednesday,Junior Agogo,19,Centre-Forward,Oldham Athletic,loan transfer,out,Summer,NA,Premier League,1999,1999/2000
Sheffield Wednesday,Ritchie Humphreys,21,Defensive Midfield,Scunthorpe Utd.,loan transfer,out,Summer,NA,Premier League,1999,1999/2000
Sheffield Wednesday,Junior Agogo,20,Centre-Forward,Chester City,loan transfer,out,Summer,NA,Premier League,1999,1999/2000
Sheffield Wednesday,Francesco Sanetti,20,Second Striker,AS Livorno,?,out,Summer,NA,Premier League,1999,1999/2000
Sheffield Wednesday,Benny Carbone,27,Second Striker,Aston Villa,?,out,Summer,NA,Premier League,1999,1999/2000
Sheffield Wednesday,Juan Cobian,23,Right-Back,Charlton,?,out,Summer,NA,Premier League,1999,1999/2000
Sheffield Wednesday,Barry Richardson,30,Goalkeeper,Lincoln City,"End of loanMay 1, 2000",out,Summer,0,Premier League,1999,1999/2000
Bradford City,David Wetherall,28,Centre-Back,Leeds,€2.10m,in,Summer,2.1,Premier League,1999,1999/2000
Bradford City,Lee Sharpe,28,Left Midfield,Leeds,€300Th.,in,Summer,0.3,Premier League,1999,1999/2000
Bradford City,Neil Redfearn,34,Central Midfield,Charlton,€287Th.,in,Summer,0.287,Premier League,1999,1999/2000
Bradford City,Andy Myers,25,Left-Back,Chelsea,free transfer,in,Summer,NA,Premier League,1999,1999/2000
Bradford City,Dean Saunders,35,Centre-Forward,Benfica,free transfer,in,Summer,NA,Premier League,1999,1999/2000
Bradford City,Matt Clarke,25,Goalkeeper,Sheff Wed,free transfer,in,Summer,NA,Premier League,1999,1999/2000
Bradford City,Bruno Rodriguez,26,Centre-Forward,Paris SG,loan transfer,in,Summer,NA,Premier League,1999,1999/2000
Bradford City,Gunnar Halle,33,Right-Back,Leeds,?,in,Summer,NA,Premier League,1999,1999/2000
Bradford City,Scott Kerr,17,Central Midfield,Bradford U18,-,in,Summer,0,Premier League,1999,1999/2000
Bradford City,Isaiah Rankin,21,Centre-Forward,Birmingham,"End of loanMay 1, 2000",in,Summer,0,Premier League,1999,1999/2000
Bradford City,Mark Bower,20,Centre-Back,York City,"End of loanMay 8, 2000",in,Summer,0,Premier League,1999,1999/2000
Bradford City,Lee Todd,27,Left-Back,Walsall,"End of loanSep 30, 1999",in,Summer,0,Premier League,1999,1999/2000
Bradford City,Gordon Watson,28,Centre-Forward,Bournemouth,free transfer,out,Summer,NA,Premier League,1999,1999/2000
Bradford City,Lee Todd,27,Left-Back,Walsall,loan transfer,out,Summer,NA,Premier League,1999,1999/2000
Bradford City,Paul Bolland,19,Central Midfield,Notts County,?,out,Summer,NA,Premier League,1999,1999/2000
Bradford City,Robert Steiner,26,attack,QPR,?,out,Summer,NA,Premier League,1999,1999/2000
Bradford City,Craig Ramage,29,Central Midfield,Notts County,?,out,Summer,NA,Premier League,1999,1999/2000
Bradford City,Mark Prudhoe,35,Goalkeeper,Darlington,loan transfer,out,Summer,NA,Premier League,1999,1999/2000
Bradford City,Bruno Rodriguez,26,Centre-Forward,Paris SG,"End of loanOct 22, 1999",out,Summer,0,Premier League,1999,1999/2000
Watford FC,Nordin Wooter,22,Right Winger,Real Zaragoza,€1.40m,in,Summer,1.4,Premier League,1999,1999/2000
Watford FC,Charlie Miller,23,Attacking Midfield,Rangers,free transfer,in,Summer,NA,Premier League,1999,1999/2000
Watford FC,Richard Johnson,25,midfield,Weston-super-M.,free transfer,in,Summer,NA,Premier League,1999,1999/2000
Watford FC,Dominic Foley,22,Centre-Forward,Wolves,free transfer,in,Summer,NA,Premier League,1999,1999/2000
Watford FC,Mark Williams,28,Centre-Back,Chesterfield FC,free transfer,in,Summer,NA,Premier League,1999,1999/2000
Watford FC,Des Lyttle,27,Right-Back,Nottm Forest,?,in,Summer,NA,Premier League,1999,1999/2000
Watford FC,Herwig Walker,27,Goalkeeper,Vorwärts Steyr,?,in,Summer,NA,Premier League,1999,1999/2000
Watford FC,Steve Brooker,18,Centre-Forward,Watford U18,-,in,Summer,0,Premier League,1999,1999/2000
Watford FC,Felix Michel Ngonge,32,Right Winger,Huddersfield,"End of loanMay 8, 2000",in,Summer,0,Premier League,1999,1999/2000
Watford FC,Des Lyttle,28,Right-Back,West Brom,"End of loanMay 8, 2000",in,Summer,0,Premier League,1999,1999/2000
Watford FC,Darren Bazeley,26,Right-Back,Wolves,free transfer,out,Summer,NA,Premier League,1999,1999/2000
Watford FC,Wayne Andrews,21,attack,St Albans City,free transfer,out,Summer,NA,Premier League,1999,1999/2000
Watford FC,Tony Daley,31,Right Winger,Walsall,?,out,Summer,NA,Premier League,1999,1999/2000
Watford FC,Alon Hazan,31,Central Midfield,FC Ashdod,?,out,Summer,NA,Premier League,1999,1999/2000
Watford FC,Ronny Rosenthal,35,Left Winger,Retired,-,out,Summer,0,Premier League,1999,1999/2000
Leicester City,Tim Flowers,32,Goalkeeper,Blackburn,€1.80m,in,Summer,1.8,Premier League,1999,1999/2000
Leicester City,Carl Bacon,18,Right-Back,Unknown,?,in,Summer,NA,Premier League,1999,1999/2000
Leicester City,Matthew Nurse,17,Goalkeeper,Unknown,?,in,Summer,NA,Premier League,1999,1999/2000
Leicester City,Alex Mortimer,16,midfield,Unknown,?,in,Summer,NA,Premier League,1999,1999/2000
Leicester City,Phil Gilchrist,25,Centre-Back,Oxford United,?,in,Summer,NA,Premier League,1999,1999/2000
Leicester City,Guy Branston,20,Centre-Back,Lincoln City,"End of loanSep 1, 1999",in,Summer,0,Premier League,1999,1999/2000
Leicester City,Stuart Wilson,22,Attacking Midfield,Sheff Utd,"End of loanMay 8, 2000",in,Summer,0,Premier League,1999,1999/2000
Leicester City,Jordan Stewart,18,Left-Back,Bristol Rovers,"End of loanMay 31, 2000",in,Summer,0,Premier League,1999,1999/2000
Leicester City,Stuart Campbell,22,Defensive Midfield,Birmingham,"End of loanMay 1, 2000",in,Summer,0,Premier League,1999,1999/2000
Leicester City,Graham Fenton,25,Second Striker,Walsall,"End of loanMay 8, 2000",in,Summer,0,Premier League,1999,1999/2000
Leicester City,Guy Branston,20,Centre-Back,Rotherham,€75Th.,out,Summer,0.075,Premier League,1999,1999/2000
Leicester City,Gary Neil,20,Centre-Forward,Torquay,free transfer,out,Summer,NA,Premier League,1999,1999/2000
Leicester City,Kasey Keller,29,Goalkeeper,Rayo Vallecano,free transfer,out,Summer,NA,Premier League,1999,1999/2000
Leicester City,Scott Taylor,28,Right Midfield,Wolves,free transfer,out,Summer,NA,Premier League,1999,1999/2000
Leicester City,Guy Branston,20,Centre-Back,Lincoln City,loan transfer,out,Summer,NA,Premier League,1999,1999/2000
Leicester City,Arnar Gunnlaugsson,26,Right Winger,Stoke City,?,out,Summer,NA,Premier League,1999,1999/2000
Leicester City,Pontus Kamark,30,Centre-Back,AIK,?,out,Summer,NA,Premier League,1999,1999/2000
Wimbledon FC,Hermann Hreidarsson,24,Centre-Back,Brentford,€3.75m,in,Summer,3.75,Premier League,1999,1999/2000
Wimbledon FC,Martin Andresen,22,Central Midfield,Stabæk Fotball,€3.00m,in,Summer,3,Premier League,1999,1999/2000
Wimbledon FC,Walid Badir,25,Defensive Midfield,H. Petah Tikva,€1.50m,in,Summer,1.5,Premier League,1999,1999/2000
Wimbledon FC,Chris Willmott,21,Centre-Back,Luton,?,in,Summer,NA,Premier League,1999,1999/2000
Wimbledon FC,Tore Pedersen,29,Centre-Back,E. Frankfurt,?,in,Summer,NA,Premier League,1999,1999/2000
Wimbledon FC,Kjetil Waehler,23,Centre-Back,FK Lyn,?,in,Summer,NA,Premier League,1999,1999/2000
Wimbledon FC,Trond Andersen,24,Centre-Back,Molde,?,in,Summer,NA,Premier League,1999,1999/2000
Wimbledon FC,Wayne Gray,18,Centre-Forward,Wimbledon U19,-,in,Summer,0,Premier League,1999,1999/2000
Wimbledon FC,Robert Owusu Ansah,19,midfield,Wimbledon U19,-,in,Summer,0,Premier League,1999,1999/2000
Wimbledon FC,Bryn Halliwell,18,Goalkeeper,Wimbledon U19,-,in,Summer,0,Premier League,1999,1999/2000
Wimbledon FC,Patrick Agyemang,19,Centre-Forward,Brentford,"End of loanMay 1, 2000",in,Summer,0,Premier League,1999,1999/2000
Wimbledon FC,Peter Hawkins,21,Left-Back,York City,"End of loanMay 1, 2000",in,Summer,0,Premier League,1999,1999/2000
Wimbledon FC,Robert Owusu Ansah,20,midfield,Raith Rovers,"End of loanMay 8, 2000",in,Summer,0,Premier League,1999,1999/2000
Wimbledon FC,Wayne Gray,19,Centre-Forward,Swindon Town,"End of loanMay 1, 2000",in,Summer,0,Premier League,1999,1999/2000
Wimbledon FC,Chris Perry,26,Centre-Back,Spurs,€6.00m,out,Summer,6,Premier League,1999,1999/2000
Wimbledon FC,Mark Kennedy,23,Left-Back,Man City,€1.38m,out,Summer,1.38,Premier League,1999,1999/2000
Wimbledon FC,Efan Ekoku,32,Centre-Forward,Grasshoppers,€1.30m,out,Summer,1.3,Premier League,1999,1999/2000
Wimbledon FC,Andy Pearce,33,Centre-Back,Aldershot,free transfer,out,Summer,NA,Premier League,1999,1999/2000
Wimbledon FC,Andy Clarke,31,Left Winger,Peterborough,free transfer,out,Summer,NA,Premier League,1999,1999/2000
Wimbledon FC,Patrick Agyemang,18,Centre-Forward,Brentford,loan transfer,out,Summer,NA,Premier League,1999,1999/2000
Wimbledon FC,Andy Futcher,21,defence,Doncaster,?,out,Summer,NA,Premier League,1999,1999/2000
Wimbledon FC,Brendan Murphy,23,Goalkeeper,Dundalk FC,?,out,Summer,NA,Premier League,1999,1999/2000
Wimbledon FC,Richard O'Connor,20,Right Midfield,Kingstonian FC,?,out,Summer,NA,Premier League,1999,1999/2000
Wimbledon FC,Lee Jones,24,Defensive Midfield,Tampere United,?,out,Summer,NA,Premier League,1999,1999/2000
Wimbledon FC,Peter Fear,25,midfield,Oxford United,?,out,Summer,NA,Premier League,1999,1999/2000
Coventry City,Robbie Keane,19,Centre-Forward,Wolves,€9.00m,in,Summer,9,Premier League,1999,1999/2000
Coventry City,Carlton Palmer,33,Defensive Midfield,Nottm Forest,€600Th.,in,Summer,0.6,Premier League,1999,1999/2000
Coventry City,Runar Normann,21,Left-Back,Lillestrøm,?,in,Summer,NA,Premier League,1999,1999/2000
Coventry City,Youssef Chippo,26,Central Midfield,FC Porto,?,in,Summer,NA,Premier League,1999,1999/2000
Coventry City,Raffaele Nuzzo,26,Goalkeeper,Inter,?,in,Summer,NA,Premier League,1999,1999/2000
Coventry City,Morten Hyldgaard,21,Goalkeeper,Grimsby Town,?,in,Summer,NA,Premier League,1999,1999/2000
Coventry City,Cédric Roussel,21,Centre-Forward,KAA Gent,loan transfer,in,Summer,NA,Premier League,1999,1999/2000
Coventry City,Chukki Eribenne,18,Centre-Forward,Coventry U18,-,in,Summer,0,Premier League,1999,1999/2000
Coventry City,Lee Fowler,16,Central Midfield,Coventry U18,-,in,Summer,0,Premier League,1999,1999/2000
Coventry City,Gary Montgomery,16,Goalkeeper,Coventry U18,-,in,Summer,0,Premier League,1999,1999/2000
Coventry City,Gary McSheffrey,16,Left Winger,Coventry U18,-,in,Summer,0,Premier League,1999,1999/2000
Coventry City,Chris Kirkland,18,Goalkeeper,Coventry U18,-,in,Summer,0,Premier League,1999,1999/2000
Coventry City,Graeme Mathie,16,Centre-Back,Coventry U18,-,in,Summer,0,Premier League,1999,1999/2000
Coventry City,Chukki Eribenne,19,Centre-Forward,Helsingborg,"End of loanMay 1, 2000",in,Summer,0,Premier League,1999,1999/2000
Coventry City,Darren Huckerby,23,Right Winger,Leeds,€7.60m,out,Summer,7.6,Premier League,1999,1999/2000
Coventry City,George Boateng,23,Defensive Midfield,Aston Villa,€6.20m,out,Summer,6.2,Premier League,1999,1999/2000
Coventry City,Philippe Clement,25,Centre-Back,Club Brugge,€1.15m,out,Summer,1.15,Premier League,1999,1999/2000
Coventry City,Trond Soltvedt,32,Attacking Midfield,Southampton,€450Th.,out,Summer,0.45,Premier League,1999,1999/2000
Coventry City,Sam Shilton,21,Left-Back,Hartlepool,free transfer,out,Summer,NA,Premier League,1999,1999/2000
Coventry City,Willie Boland,23,Central Midfield,Cardiff,free transfer,out,Summer,NA,Premier League,1999,1999/2000
Coventry City,Liam Daish,30,Centre-Back,Havant & Water.,free transfer,out,Summer,NA,Premier League,1999,1999/2000
Coventry City,Craig Faulconbridge,21,Centre-Forward,Wrexham,free transfer,out,Summer,NA,Premier League,1999,1999/2000
Coventry City,Andrew Ducros,21,Right Winger,Nuneaton,?,out,Summer,NA,Premier League,1999,1999/2000
Coventry City,Stefano Gioacchini,22,Second Striker,Cosenza,?,out,Summer,NA,Premier League,1999,1999/2000
Coventry City,Roland Nilsson,35,Right-Back,Helsingborg,?,out,Summer,NA,Premier League,1999,1999/2000
Coventry City,Barry Prenderville,22,defence,Ayr United,?,out,Summer,NA,Premier League,1999,1999/2000
Manchester United,Mikaël Silvestre,22,Centre-Back,Inter,€5.70m,in,Summer,5.7,Premier League,1999,1999/2000
Manchester United,Mark Bosnich,27,Goalkeeper,Aston Villa,free transfer,in,Summer,NA,Premier League,1999,1999/2000
Manchester United,Massimo Taibi,29,Goalkeeper,AC Venezia 1907,free transfer,in,Summer,NA,Premier League,1999,1999/2000
Manchester United,Kalam Mooniaruck,15,attack,Norwich,?,in,Summer,NA,Premier League,1999,1999/2000
Manchester United,Luke Chadwick,18,Attacking Midfield,Man Utd Res.,-,in,Summer,0,Premier League,1999,1999/2000
Manchester United,Danny Webber,17,Centre-Forward,Man Utd U18,-,in,Summer,0,Premier League,1999,1999/2000
Manchester United,Kirk Hilton,19,Centre-Back,Royal Antwerp,"End of loanApr 28, 2000",in,Summer,0,Premier League,1999,1999/2000
Manchester United,Jordi Cruyff,25,Attacking Midfield,Celta de Vigo,"End of loanJun 30, 1999",in,Summer,0,Premier League,1999,1999/2000
Manchester United,John Curtis,21,Right-Back,Barnsley FC,"End of loanMay 1, 2000",in,Summer,0,Premier League,1999,1999/2000
Manchester United,Danny Higginbotham,20,Centre-Back,Royal Antwerp,"End of loanJun 30, 1999",in,Summer,0,Premier League,1999,1999/2000
Manchester United,David Healy,20,Centre-Forward,Port Vale,"End of loanMay 1, 2000",in,Summer,0,Premier League,1999,1999/2000
Manchester United,Alex Notman,19,Right Winger,Aberdeen FC,"End of loanJun 30, 1999",in,Summer,0,Premier League,1999,1999/2000
Manchester United,Mike Clegg,22,Right-Back,Wigan,"End of loanMay 7, 2000",in,Summer,0,Premier League,1999,1999/2000
Manchester United,Michael Twiss,21,Right Midfield,Sheff Utd,"End of loanJun 1, 1999",in,Summer,0,Premier League,1999,1999/2000
Manchester United,Peter Schmeichel,35,Goalkeeper,Sporting CP,free transfer,out,Summer,NA,Premier League,1999,1999/2000
Manchester United,Kirk Hilton,18,Centre-Back,Royal Antwerp,loan transfer,out,Summer,NA,Premier League,1999,1999/2000
Newcastle United,Kieron Dyer,20,Right Midfield,Ipswich,€9.00m,in,Summer,9,Premier League,1999,1999/2000
Newcastle United,Alain Goma,26,Centre-Back,Paris SG,€7.00m,in,Summer,7,Premier League,1999,1999/2000
Newcastle United,Marcelino,27,Centre-Back,RCD Mallorca,€6.70m,in,Summer,6.7,Premier League,1999,1999/2000
Newcastle United,Diego Gavilán,19,Central Midfield,Cerro Porteño,€3.00m,in,Summer,3,Premier League,1999,1999/2000
Newcastle United,Kevin Gallacher,32,Right Winger,Blackburn,€800Th.,in,Summer,0.8,Premier League,1999,1999/2000
Newcastle United,Franck Dumas,31,Centre-Back,Monaco,€750Th.,in,Summer,0.75,Premier League,1999,1999/2000
Newcastle United,Jonny Brain,16,Goalkeeper,Carlisle United,free transfer,in,Summer,NA,Premier League,1999,1999/2000
Newcastle United,Fumaça,22,Second Striker,Crystal Palace,free transfer,in,Summer,NA,Premier League,1999,1999/2000
Newcastle United,Gary Caldwell,17,Centre-Back,Celtic Boys Club,free transfer,in,Summer,NA,Premier League,1999,1999/2000
Newcastle United,Lucas Cominelli,22,midfield,Granada CF,loan transfer,in,Summer,NA,Premier League,1999,1999/2000
Newcastle United,Tommy Wright,35,Goalkeeper,Man City,loan transfer,in,Summer,NA,Premier League,1999,1999/2000
Newcastle United,Hélder Cristóvão,28,Centre-Back,Dep. La Coruña,loan transfer,in,Summer,NA,Premier League,1999,1999/2000
Newcastle United,Stuart Green,18,Right Winger,Newcastle U18,-,in,Summer,0,Premier League,1999,1999/2000
Newcastle United,Stephen Brennan,16,Defensive Midfield,Newcastle U18,-,in,Summer,0,Premier League,1999,1999/2000
Newcastle United,Lionel Perez,33,Goalkeeper,Cambridge Utd.,"End of loanMay 8, 2000",in,Summer,0,Premier League,1999,1999/2000
Newcastle United,Des Hamilton,23,Right Midfield,Norwich,"End of loanMay 8, 2000",in,Summer,0,Premier League,1999,1999/2000
Newcastle United,Lionel Perez,32,Goalkeeper,Scunthorpe Utd.,"End of loanOct 29, 1999",in,Summer,0,Premier League,1999,1999/2000
Newcastle United,Alessandro Pistone,23,Left-Back,AC Venezia 1907,"End of loanJun 30, 1999",in,Summer,0,Premier League,1999,1999/2000
Newcastle United,James Coppinger,19,Right Midfield,Hartlepool,"End of loanMay 1, 2000",in,Summer,0,Premier League,1999,1999/2000
Newcastle United,Garry Brady,23,Central Midfield,Norwich,"End of loanMay 1, 2000",in,Summer,0,Premier League,1999,1999/2000
Newcastle United,Stuart Elliott,22,midfield,Stockport,"End of loanMay 8, 2000",in,Summer,0,Premier League,1999,1999/2000
Newcastle United,Dietmar Hamann,25,Defensive Midfield,Liverpool,€12.00m,out,Summer,12,Premier League,1999,1999/2000
Newcastle United,Steve Howey,27,Centre-Back,Man City,€4.60m,out,Summer,4.6,Premier League,1999,1999/2000
Newcastle United,Andreas Andersson,25,Centre-Forward,AIK,€2.75m,out,Summer,2.75,Premier League,1999,1999/2000
Newcastle United,Georgios Georgiadis,27,Right Winger,PAOK Salonika,€500Th.,out,Summer,0.5,Premier League,1999,1999/2000
Newcastle United,Stuart Pearce,37,Left-Back,West Ham,free transfer,out,Summer,NA,Premier League,1999,1999/2000
Newcastle United,Ralf Keidel,22,Right-Back,MSV Duisburg,free transfer,out,Summer,NA,Premier League,1999,1999/2000
Newcastle United,Philippe Albert,31,Centre-Back,RSC Charleroi,free transfer,out,Summer,NA,Premier League,1999,1999/2000
Newcastle United,David Terrier,25,Centre-Back,OGC Nice,free transfer,out,Summer,NA,Premier League,1999,1999/2000
Newcastle United,Lionel Perez,32,Goalkeeper,Scunthorpe Utd.,loan transfer,out,Summer,NA,Premier League,1999,1999/2000
Newcastle United,Tommy Wright,35,Goalkeeper,Man City,"End of loanSep 1, 1999",out,Summer,0,Premier League,1999,1999/2000
Middlesbrough FC,Christian Ziege,27,Left Midfield,Milan,€6.00m,in,Summer,6,Premier League,1999,1999/2000
Middlesbrough FC,Paul Ince,31,Defensive Midfield,Liverpool,€1.50m,in,Summer,1.5,Premier League,1999,1999/2000
Middlesbrough FC,Chris Bennion,18,Goalkeeper,Hearts FC U20,free transfer,in,Summer,NA,Premier League,1999,1999/2000
Middlesbrough FC,Juninho Paulista,26,Attacking Midfield,Atlético Madrid,loan transfer,in,Summer,NA,Premier League,1999,1999/2000
Middlesbrough FC,Mark Hudson,18,Central Midfield,Boro U18,-,in,Summer,0,Premier League,1999,1999/2000
Middlesbrough FC,Sean Prunty,18,defence,Boro U18,-,in,Summer,0,Premier League,1999,1999/2000
Middlesbrough FC,Alun Armstrong,25,Centre-Forward,Huddersfield,"End of loanMay 1, 2000",in,Summer,0,Premier League,1999,1999/2000
Middlesbrough FC,Steve Baker,21,Right-Back,Darlington,"End of loanMay 27, 2000",in,Summer,0,Premier League,1999,1999/2000
Middlesbrough FC,Steve Baker,20,Right-Back,Huddersfield,"End of loanAug 30, 1999",in,Summer,0,Premier League,1999,1999/2000
Middlesbrough FC,Steve Baker,20,Right-Back,Huddersfield,loan transfer,out,Summer,NA,Premier League,1999,1999/2000
Middlesbrough FC,Andy Townsend,36,Central Midfield,West Brom,€50Th.,out,Summer,0.05,Premier League,1999,1999/2000
Middlesbrough FC,Ross Harrower,16,Goalkeeper,Dunfermline A.,?,out,Summer,NA,Premier League,1999,1999/2000
Middlesbrough FC,Marco Branca,34,Centre-Forward,FC Luzern,?,out,Summer,NA,Premier League,1999,1999/2000
Middlesbrough FC,Clayton Blackmore,34,Left-Back,Barnsley FC,?,out,Summer,NA,Premier League,1999,1999/2000
Middlesbrough FC,Gustavo Lombardi,23,Right-Back,River Plate,?,out,Summer,NA,Premier League,1999,1999/2000
Middlesbrough FC,Anthony Ormerod,20,Right Winger,York City,loan transfer,out,Summer,NA,Premier League,1999,1999/2000
Arsenal FC,Thierry Henry,21,Centre-Forward,Juventus,€16.10m,in,Summer,16.1,Premier League,1999,1999/2000
Arsenal FC,Davor Suker,31,Centre-Forward,Real Madrid,€5.40m,in,Summer,5.4,Premier League,1999,1999/2000
Arsenal FC,Oleg Luzhnyi,30,Right-Back,Dynamo Kyiv,€2.75m,in,Summer,2.75,Premier League,1999,1999/2000
Arsenal FC,Stefan Malz,27,Left-Back,1860 Munich,€1.15m,in,Summer,1.15,Premier League,1999,1999/2000
Arsenal FC,Sylvinho,25,Left-Back,Corinthians,free transfer,in,Summer,NA,Premier League,1999,1999/2000
Arsenal FC,Ashley Cole,18,Left-Back,Arsenal Res.,-,in,Summer,0,Premier League,1999,1999/2000
Arsenal FC,Rhys Weston,18,Right-Back,Arsenal U18,-,in,Summer,0,Premier League,1999,1999/2000
Arsenal FC,Graham Barrett,17,Centre-Forward,Arsenal U18,-,in,Summer,0,Premier League,1999,1999/2000
Arsenal FC,Tommy Black,19,Right Midfield,Carlisle United,"End of loanSep 1, 1999",in,Summer,0,Premier League,1999,1999/2000
Arsenal FC,Ashley Cole,19,Left-Back,Crystal Palace,"End of loanMay 8, 2000",in,Summer,0,Premier League,1999,1999/2000
Arsenal FC,Alberto Méndez,24,Attacking Midfield,AEK Athens,"End of loanJun 30, 1999",in,Summer,0,Premier League,1999,1999/2000
Arsenal FC,Ömer Riza,19,Second Striker,ADO Den Haag,"End of loanJun 30, 1999",in,Summer,0,Premier League,1999,1999/2000
Arsenal FC,Christopher Wreh,24,Centre-Forward,AEK Athens,"End of loanJun 30, 1999",in,Summer,0,Premier League,1999,1999/2000
Arsenal FC,Nicolas Anelka,20,Centre-Forward,Real Madrid,€35.00m,out,Summer,35,Premier League,1999,1999/2000
Arsenal FC,Kaba Diawara,23,Centre-Forward,Marseille,€3.50m,out,Summer,3.5,Premier League,1999,1999/2000
Arsenal FC,Jason Crowe,20,Right-Back,Portsmouth,€1.50m,out,Summer,1.5,Premier League,1999,1999/2000
Arsenal FC,Steve Bould,36,Centre-Back,Sunderland,€800Th.,out,Summer,0.8,Premier League,1999,1999/2000
Arsenal FC,Luís Boa Morte,21,Left Midfield,Southampton,€700Th.,out,Summer,0.7,Premier League,1999,1999/2000
Arsenal FC,Stephen Hughes,23,Defensive Midfield,Fulham,loan transfer,out,Summer,NA,Premier League,1999,1999/2000
Arsenal FC,David Grondin,19,Left-Back,Saint-Étienne,loan transfer,out,Summer,NA,Premier League,1999,1999/2000
Arsenal FC,Tommy Black,19,Right Midfield,Carlisle United,loan transfer,out,Summer,NA,Premier League,1999,1999/2000
Arsenal FC,David Livermore,19,Central Midfield,Millwall,€50Th.,out,Summer,0.05,Premier League,1999,1999/2000
Arsenal FC,Ömer Riza,19,Second Striker,West Ham,?,out,Summer,NA,Premier League,1999,1999/2000
