,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
0,Issah Abbas,gh GHA,"DF,FW",Mainz 05,21,1998,2,0,18,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
1,David Abraham,ar ARG,DF,Eint Frankfurt,34,1986,14,14,"1,222",13.6,1,0,1,0,0,5,1,0.07,0.00,0.07,0.07,0.07,0.7,0.7,0.5,1.1,0.05,0.03,0.08,0.05,0.08,Matches,2020-2021
2,Amir Abrashi,al ALB,"MF,DF",Freiburg,30,1990,5,0,60,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
3,Ragnar Ache,de GER,"FW,DF",Eint Frankfurt,22,1998,7,0,100,1.1,1,0,1,0,0,1,0,0.90,0.00,0.90,0.90,0.90,0.3,0.3,0.0,0.3,0.24,0.00,0.24,0.24,0.24,Matches,2020-2021
4,Tyler Adams,us USA,"DF,MF",RB Leipzig,21,1999,27,21,"1,850",20.6,1,1,1,0,0,3,0,0.05,0.05,0.10,0.05,0.10,0.9,0.9,0.9,1.8,0.04,0.04,0.09,0.04,0.09,Matches,2020-2021
5,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,27,1993,18,3,479,5.3,2,3,2,0,0,2,0,0.38,0.56,0.94,0.38,0.94,2.2,2.2,1.8,4.0,0.41,0.33,0.75,0.41,0.75,Matches,2020-2021
6,Felix Agu,de GER,"DF,FW",Werder Bremen,20,1999,15,8,701,7.8,1,0,1,0,0,0,0,0.13,0.00,0.13,0.13,0.13,0.6,0.6,0.4,1.0,0.07,0.05,0.13,0.07,0.13,Matches,2020-2021
7,Naouirou Ahamada,fr FRA,MF,Stuttgart,18,2002,6,3,252,2.8,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.4,0.12,0.02,0.13,0.12,0.13,Matches,2020-2021
8,Manuel Akanji,ch SUI,DF,Dortmund,25,1995,28,26,"2,350",26.1,2,0,2,0,0,4,0,0.08,0.00,0.08,0.08,0.08,1.8,1.8,0.1,1.9,0.07,0.00,0.07,0.07,0.07,Matches,2020-2021
9,Kevin Akpoguma,ng NGA,DF,Hoffenheim,25,1995,16,14,"1,184",13.2,1,0,1,0,0,1,0,0.08,0.00,0.08,0.08,0.08,0.1,0.1,0.4,0.4,0.00,0.03,0.03,0.00,0.03,Matches,2020-2021
10,David Alaba,at AUT,"DF,MF",Bayern Munich,28,1992,32,30,"2,675",29.7,2,4,2,0,0,4,0,0.07,0.13,0.20,0.07,0.20,1.3,1.3,2.3,3.6,0.04,0.08,0.12,0.04,0.12,Matches,2020-2021
11,Lucas Alario,ar ARG,FW,Leverkusen,27,1992,25,12,"1,245",13.8,11,2,9,2,2,2,0,0.80,0.14,0.94,0.65,0.80,6.5,5.0,0.7,5.7,0.47,0.05,0.52,0.36,0.41,Matches,2020-2021
12,Omar Alderete,py PAR,DF,Hertha BSC,23,1996,17,14,"1,299",14.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.6,0.03,0.01,0.04,0.03,0.04,Matches,2020-2021
