,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
0,David Abraham,ar ARG,DF,Hoffenheim,28,1986,14,9,894,9.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2014-2015
1,René Adler,de GER,GK,Hamburger SV,29,1985,12,11,"1,060",11.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2014-2015
2,Stefan Aigner,de GER,"FW,MF",Eint Frankfurt,26,1987,28,23,"2,088",23.2,9,0,9,0,0,8,0,0.39,0.00,0.39,0.39,0.39,Matches,2014-2015
3,David Alaba,at AUT,"DF,MF",Bayern Munich,22,1992,19,19,"1,665",18.5,2,1,2,0,0,0,0,0.11,0.05,0.16,0.11,0.16,Matches,2014-2015
4,Miiko Albornoz,cl CHI,"DF,MF",Hannover 96,23,1990,28,25,"2,185",24.3,0,3,0,0,0,2,0,0.00,0.12,0.12,0.00,0.12,Matches,2014-2015
5,Thiago Alcántara,es ESP,MF,Bayern Munich,23,1991,7,2,285,3.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2014-2015
6,Sami Allagui,tn TUN,"FW,MF",Hertha BSC,28,1986,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2014-2015
7,Sami Allagui,tn TUN,"FW,MF",Mainz 05,28,1986,19,9,807,9.0,2,0,2,0,0,4,0,0.22,0.00,0.22,0.22,0.22,Matches,2014-2015
8,Xabi Alonso,es ESP,MF,Bayern Munich,32,1981,26,24,"1,963",21.8,2,3,2,0,0,6,0,0.09,0.14,0.23,0.09,0.23,Matches,2014-2015
9,Halil Altıntop,tr TUR,"FW,MF",Augsburg,31,1982,31,30,"2,460",27.3,3,5,3,0,0,1,0,0.11,0.18,0.29,0.11,0.29,Matches,2014-2015
