,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
0,Mohammed Abdellaoue,no NOR,FW,Hannover 96,26,1985,26,12,"1,036",11.5,8,1,6,2,2,1,0,0.69,0.09,0.78,0.52,0.61,Matches,2012-2013
1,David Abraham,ar ARG,DF,Hoffenheim,26,1986,12,12,"1,023",11.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2012-2013
2,René Adler,de GER,GK,Hamburger SV,27,1985,32,32,"2,880",32.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,2012-2013
3,Luis Advíncula,pe PER,"DF,MF",Hoffenheim,22,1990,2,1,75,0.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2012-2013
4,Ibrahim Afellay,nl NED,"FW,MF",Schalke 04,26,1986,10,8,624,6.9,2,0,2,0,0,2,0,0.29,0.00,0.29,0.29,0.29,Matches,2012-2013
5,Stefan Aigner,de GER,"FW,MF",Eint Frankfurt,24,1987,34,34,"2,810",31.2,9,7,9,0,0,3,0,0.29,0.22,0.51,0.29,0.51,Matches,2012-2013
6,Joseph Akpala,ng NGA,FW,Werder Bremen,25,1986,21,3,464,5.2,1,1,1,0,0,1,0,0.19,0.19,0.39,0.19,0.39,Matches,2012-2013
7,David Alaba,at AUT,"DF,MF",Bayern Munich,20,1992,23,22,"1,993",22.1,3,3,1,2,3,0,0,0.14,0.14,0.27,0.05,0.18,Matches,2012-2013
8,Tim Albutat,de GER,MF,Freiburg,19,1992,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2012-2013
9,Felipe Aliste Lopes,br BRA,DF,Stuttgart,24,1987,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2012-2013
10,Felipe Aliste Lopes,br BRA,DF,Wolfsburg,24,1987,1,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2012-2013
11,Robert Almer,at AUT,GK,Düsseldorf,28,1984,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2012-2013
12,Mohamed Amsif,ma MAR,GK,Augsburg,23,1989,17,17,"1,530",17.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2012-2013
13,Leon Andreasen,dk DEN,"DF,MF",Hannover 96,29,1983,5,4,260,2.9,2,0,2,0,0,1,0,0.69,0.00,0.69,0.69,0.69,Matches,2012-2013
14,Marcos Antônio,br BRA,DF,Nürnberg,29,1983,1,1,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2012-2013
15,Dennis Aogo,de GER,"DF,MF",Hamburger SV,25,1987,27,22,"1,956",21.7,2,4,2,0,0,2,0,0.09,0.18,0.28,0.09,0.28,Matches,2012-2013
16,Juan Arango,ve VEN,MF,M'Gladbach,32,1980,31,31,"2,720",30.2,5,5,5,0,0,2,0,0.17,0.17,0.33,0.17,0.33,Matches,2012-2013
17,Marko Arnautović,at AUT,"FW,MF",Werder Bremen,23,1989,26,21,"1,954",21.7,5,6,5,0,0,9,1,0.23,0.28,0.51,0.23,0.51,Matches,2012-2013
18,Maximilian Arnold,de GER,MF,Wolfsburg,18,1994,6,5,401,4.5,3,0,3,0,0,1,0,0.67,0.00,0.67,0.67,0.67,Matches,2012-2013
19,Tolgay Arslan,de GER,MF,Hamburger SV,21,1990,25,19,"1,658",18.4,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches,2012-2013
20,Gerald Asamoah,de GER,"FW,MF",Greuther Fürth,33,1978,17,12,"1,002",11.1,0,1,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,Matches,2012-2013
21,Renato Augusto,br BRA,MF,Leverkusen,24,1988,6,0,97,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2012-2013
22,Okan Aydın,tr TUR,"FW,MF",Leverkusen,18,1994,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2012-2013
23,Ilir Azemi,xk KVX,FW,Greuther Fürth,20,1992,20,3,625,6.9,1,1,1,0,0,3,0,0.14,0.14,0.29,0.14,0.29,Matches,2012-2013
24,Milan Badelj,hr CRO,MF,Hamburger SV,23,1989,31,30,"2,498",27.8,1,5,0,1,1,8,0,0.04,0.18,0.22,0.00,0.18,Matches,2012-2013
26,Holger Badstuber,de GER,DF,Bayern Munich,23,1989,12,12,981,10.9,0,1,0,0,0,0,0,0.00,0.09,0.09,0.00,0.09,Matches,2012-2013
27,Mamadou Bah,gn GUI,MF,Stuttgart,24,1988,1,0,22,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2012-2013
28,Daniel Baier,de GER,MF,Augsburg,28,1984,33,33,"2,948",32.8,2,1,2,0,0,8,0,0.06,0.03,0.09,0.06,0.09,Matches,2012-2013
29,Bálint Bajner,hu HUN,FW,Dortmund,21,1990,1,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2012-2013
