,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
0,Ignazio Abate,it ITA,"DF,MF",Milan,23,1986,29,26,"2,412",26.8,0,1,0,0,0,2,1,0.00,0.04,0.04,0.00,0.04,Matches,2010-2011
1,Christian Abbiati,it ITA,GK,Milan,33,1977,35,35,"3,078",34.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2010-2011
2,Almen Abdi,ch SUI,MF,Udinese,23,1986,19,6,634,7.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,2010-2011
3,Pietro Accardi,it ITA,DF,Sampdoria,27,1982,9,4,528,5.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2010-2011
4,Pietro Accardi,it ITA,DF,Brescia,27,1982,8,6,586,6.5,1,0,1,0,0,1,0,0.15,0.00,0.15,0.15,0.15,Matches,2010-2011
5,Robert Acquafresca,it ITA,FW,Cagliari,22,1987,37,27,"2,289",25.4,8,1,8,0,1,1,0,0.31,0.04,0.35,0.31,0.35,Matches,2010-2011
6,Afriyie Acquah,gh GHA,MF,Palermo,18,1992,11,3,434,4.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2010-2011
7,Adriano,br BRA,FW,Roma,28,1982,5,2,241,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2010-2011
8,Michael Agazzi,it ITA,GK,Cagliari,26,1984,38,38,"3,383",37.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2010-2011
9,Alessandro Agostini,it ITA,DF,Cagliari,31,1979,34,34,"2,947",32.7,0,1,0,0,0,5,0,0.00,0.03,0.03,0.00,0.03,Matches,2010-2011
10,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,19,1990,8,2,206,2.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2010-2011
11,Denis Alibec,ro ROU,FW,Inter,19,1991,2,0,60,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2010-2011
12,Sergio Almirón,ar ARG,MF,Bari,29,1980,25,21,"1,837",20.4,0,2,0,0,0,5,0,0.00,0.10,0.10,0.00,0.10,Matches,2010-2011
13,Édgar Álvarez,hn HON,"DF,MF",Bari,30,1980,29,18,"1,885",20.9,1,1,1,0,0,2,0,0.05,0.05,0.10,0.05,0.10,Matches,2010-2011
14,Pablo Álvarez,ar ARG,DF,Catania,26,1984,23,20,"1,739",19.3,0,0,0,0,0,5,2,0.00,0.00,0.00,0.00,0.00,Matches,2010-2011
15,Amauri,it ITA,FW,Parma,30,1980,11,11,916,10.2,7,2,7,0,0,2,0,0.69,0.20,0.88,0.69,0.88,Matches,2010-2011
16,Amauri,it ITA,FW,Juventus,30,1980,9,5,492,5.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2010-2011
17,Massimo Ambrosini,it ITA,MF,Milan,33,1977,18,16,"1,382",15.4,1,2,1,0,0,5,0,0.07,0.13,0.20,0.07,0.20,Matches,2010-2011
18,Marco Amelia,it ITA,GK,Milan,28,1982,4,3,336,3.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2010-2011
19,Marco Andreolli,it ITA,DF,Chievo,24,1986,28,27,"2,345",26.1,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,2010-2011
20,Mariano Andújar,ar ARG,GK,Catania,27,1983,37,37,"3,330",37.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2010-2011
21,Gabriele Angella,it ITA,DF,Udinese,21,1989,8,1,232,2.6,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,2010-2011
22,Ângelo,br BRA,"DF,MF",Parma,29,1981,21,10,"1,013",11.3,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,2010-2011
23,Mirco Antenucci,it ITA,FW,Catania,25,1984,14,2,408,4.5,1,0,0,1,1,0,0,0.22,0.00,0.22,0.00,0.00,Matches,2010-2011
24,Luca Antonelli,it ITA,"DF,MF",Genoa,23,1987,11,5,607,6.7,1,1,1,0,0,0,0,0.15,0.15,0.30,0.15,0.30,Matches,2010-2011
26,Luca Antonelli,it ITA,"DF,MF",Parma,23,1987,12,12,"1,080",12.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2010-2011
27,Luca Antonini,it ITA,"DF,MF",Milan,27,1982,22,18,"1,623",18.0,0,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Matches,2010-2011
28,Francesco Antonioli,it ITA,GK,Cesena,40,1969,37,37,"3,330",37.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2010-2011
29,Siniša Anđelković,si SVN,DF,Palermo,24,1986,7,7,540,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2010-2011
30,Stephen Appiah,gh GHA,MF,Cesena,29,1980,14,13,"1,013",11.3,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,2010-2011
31,Alberto Aquilani,it ITA,MF,Juventus,26,1984,33,31,"2,657",29.5,2,5,2,0,0,3,0,0.07,0.17,0.24,0.07,0.24,Matches,2010-2011
32,Michele Arcari,it ITA,GK,Brescia,32,1978,22,22,"1,980",22.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2010-2011
33,Lorenzo Ariaudo,it ITA,DF,Cagliari,21,1989,15,9,982,10.9,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,2010-2011
34,Pablo Armero,co COL,"DF,MF",Udinese,23,1986,31,29,"2,569",28.5,2,5,2,0,0,4,0,0.07,0.18,0.25,0.07,0.25,Matches,2010-2011
35,John Arne Riise,no NOR,"DF,MF",Roma,29,1980,32,32,"2,880",32.0,0,6,0,0,0,0,0,0.00,0.19,0.19,0.00,0.19,Matches,2010-2011
36,Salvatore Aronica,it ITA,DF,Napoli,32,1978,26,19,"1,881",20.9,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,2010-2011
37,Kwadwo Asamoah,gh GHA,"DF,MF",Udinese,21,1988,38,37,"3,282",36.5,2,3,2,0,0,3,0,0.05,0.08,0.14,0.05,0.14,Matches,2010-2011
38,Davide Astori,it ITA,DF,Cagliari,23,1987,36,36,"3,240",36.0,0,0,0,0,0,10,0,0.00,0.00,0.00,0.00,0.00,Matches,2010-2011
39,Błażej Augustyn,pl POL,DF,Catania,22,1988,6,5,399,4.4,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,2010-2011
40,Vlada Avramov,rs SRB,GK,Fiorentina,31,1979,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2010-2011
41,Khouma Babacar,sn SEN,FW,Fiorentina,17,1993,18,3,473,5.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2010-2011
42,Armin Bačinović,si SVN,MF,Palermo,20,1989,33,29,"2,422",26.9,2,0,2,0,0,13,1,0.07,0.00,0.07,0.07,0.07,Matches,2010-2011
43,Davide Baiocco,it ITA,MF,Brescia,35,1975,21,13,"1,242",13.8,0,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,Matches,2010-2011
44,Federico Balzaretti,it ITA,DF,Palermo,28,1981,33,33,"2,890",32.1,2,7,2,0,0,5,0,0.06,0.22,0.28,0.06,0.28,Matches,2010-2011
45,Júlio Baptista,br BRA,"FW,MF",Roma,28,1981,7,0,164,1.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2010-2011
46,Andrea Barzagli,it ITA,DF,Juventus,29,1981,15,14,"1,284",14.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2010-2011
47,Cristian Battocchio,it ITA,MF,Udinese,18,1992,1,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2010-2011
48,Francesco Bega,it ITA,DF,Brescia,35,1974,27,25,"2,291",25.5,1,0,1,0,0,6,0,0.04,0.00,0.04,0.04,0.04,Matches,2010-2011
49,Valon Behrami,ch SUI,"DF,MF",Fiorentina,25,1985,17,15,"1,323",14.7,0,4,0,0,0,0,0,0.00,0.27,0.27,0.00,0.27,Matches,2010-2011
50,Emanuele Belardi,it ITA,GK,Udinese,32,1977,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2010-2011
52,Giuseppe Bellusci,it ITA,DF,Catania,20,1989,9,6,526,5.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2010-2011
53,Nicola Belmonte,it ITA,DF,Bari,23,1987,26,25,"2,135",23.7,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,2010-2011
54,Yohan Benalouane,tn TUN,DF,Cesena,23,1987,15,10,"1,007",11.2,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,2010-2011
55,Massimiliano Benassi,it ITA,GK,Lecce,28,1981,1,1,51,0.6,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,2010-2011
56,Medhi Benatia,ma MAR,DF,Udinese,23,1987,34,34,"3,042",33.8,3,0,3,0,0,8,0,0.09,0.00,0.09,0.09,0.09,Matches,2010-2011
57,Simone Bentivoglio,it ITA,MF,Chievo,25,1985,12,8,658,7.3,0,1,0,0,0,3,0,0.00,0.14,0.14,0.00,0.14,Matches,2010-2011
58,Simone Bentivoglio,it ITA,MF,Bari,25,1985,16,16,"1,357",15.1,2,2,1,1,1,4,0,0.13,0.13,0.27,0.07,0.20,Matches,2010-2011
59,Francesco Benussi,it ITA,GK,Palermo,28,1981,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2010-2011
60,Gaetano Berardi,ch SUI,DF,Brescia,21,1988,27,24,"2,082",23.1,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,2010-2011
61,Giacomo Beretta,it ITA,FW,Milan,18,1992,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2010-2011
62,Steve von Bergen,ch SUI,DF,Cesena,27,1983,34,34,"3,041",33.8,0,1,0,0,0,4,2,0.00,0.03,0.03,0.00,0.03,Matches,2010-2011
63,Gonzalo Bergessio,ar ARG,FW,Catania,26,1984,13,12,"1,049",11.7,5,2,5,0,0,2,0,0.43,0.17,0.60,0.43,0.60,Matches,2010-2011
64,Tommaso Berni,it ITA,GK,Lazio,27,1983,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2010-2011
65,Andrea Bertolacci,it ITA,MF,Lecce,19,1991,9,9,637,7.1,3,0,3,0,0,0,0,0.42,0.00,0.42,0.42,0.42,Matches,2010-2011
66,Jonathan Biabiany,fr FRA,"FW,MF",Sampdoria,22,1988,16,8,874,9.7,1,1,1,0,0,2,0,0.10,0.10,0.21,0.10,0.21,Matches,2010-2011
67,Jonathan Biabiany,fr FRA,"FW,MF",Inter,22,1988,14,9,700,7.8,0,2,0,0,0,0,0,0.00,0.26,0.26,0.00,0.26,Matches,2010-2011
68,Marco Biagianti,it ITA,MF,Catania,26,1984,15,15,"1,283",14.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2010-2011
69,Giuseppe Biava,it ITA,DF,Lazio,33,1977,35,35,"3,035",33.7,3,0,3,0,0,7,2,0.09,0.00,0.09,0.09,0.09,Matches,2010-2011
70,Davide Biondini,it ITA,MF,Cagliari,27,1983,37,35,"3,149",35.0,1,3,1,0,0,5,0,0.03,0.09,0.11,0.03,0.11,Matches,2010-2011
71,Manuele Blasi,it ITA,MF,Napoli,29,1980,2,1,76,0.8,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,2010-2011
72,Richmond Boakye,gh GHA,FW,Genoa,17,1993,4,0,46,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2010-2011
73,Kevin-Prince Boateng,gh GHA,"FW,MF",Milan,23,1987,26,18,"1,639",18.2,3,1,3,0,0,9,0,0.16,0.05,0.22,0.16,0.22,Matches,2010-2011
74,Erjon Bogdani,al ALB,FW,Cesena,33,1977,35,29,"2,445",27.2,8,1,7,1,1,4,0,0.29,0.04,0.33,0.26,0.29,Matches,2010-2011
