,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
0,Gennaro Acampora,it ITA,"MF,FW",Spezia,26,1994,14,2,441,4.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.06,0.00,0.06,0.06,0.06,Matches,2020-2021
1,Francesco Acerbi,it ITA,DF,Lazio,32,1988,32,32,"2,813",31.3,0,1,0,0,0,9,1,0.00,0.03,0.03,0.00,0.03,1.0,1.0,1.0,1.9,0.03,0.03,0.06,0.03,0.06,Matches,2020-2021
2,Andrea Adorante,it ITA,FW,Parma,20,2000,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
3,Lucien Agoume,fr FRA,MF,Spezia,18,2002,12,9,800,8.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches,2020-2021
4,Kevin Agudelo,co COL,FW,Spezia,21,1998,29,14,"1,356",15.1,1,2,1,0,0,4,0,0.07,0.13,0.20,0.07,0.20,1.9,1.9,0.7,2.7,0.13,0.05,0.18,0.13,0.18,Matches,2020-2021
5,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,27,1992,32,6,"1,056",11.7,0,1,0,0,0,9,0,0.00,0.09,0.09,0.00,0.09,0.9,0.9,0.9,1.8,0.08,0.08,0.16,0.08,0.16,Matches,2020-2021
6,Luis Alberto,es ESP,MF,Lazio,27,1992,34,33,"2,618",29.1,9,2,9,0,0,5,0,0.31,0.07,0.38,0.31,0.38,5.5,5.3,8.2,13.5,0.19,0.28,0.47,0.18,0.46,Matches,2020-2021
7,Bruno Alves,pt POR,DF,Parma,38,1981,19,18,"1,632",18.1,1,0,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,0.3,0.3,0.1,0.4,0.02,0.01,0.02,0.02,0.02,Matches,2020-2021
8,Wisdom Amey,it ITA,DF,Bologna,14,2005,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
9,Sofyan Amrabat,ma MAR,MF,Fiorentina,23,1996,31,28,"2,441",27.1,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.5,0.9,0.02,0.02,0.03,0.02,0.03,Matches,2020-2021
10,Djavan Anderson,nl NED,DF,Lazio,25,1995,3,1,72,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
11,Nícolas Andrade,br BRA,GK,Udinese,32,1988,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
12,Davide Angelo Ghislandi,it ITA,DF,Atalanta,19,2001,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
13,Philip Ankhrah,gh GHA,MF,Hellas Verona,17,2002,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
14,Cristian Ansaldi,ar ARG,DF,Torino,33,1986,31,20,"1,947",21.6,1,6,0,1,1,1,0,0.05,0.28,0.32,0.00,0.28,1.7,0.9,5.0,5.9,0.08,0.23,0.31,0.04,0.27,Matches,2020-2021
15,Valentin Antov,bg BUL,DF,Bologna,19,2000,5,2,232,2.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,Matches,2020-2021
16,Nicolò Armini,it ITA,DF,Lazio,19,2001,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
17,Tolgay Arslan,de GER,MF,Udinese,29,1990,30,25,"1,818",20.2,3,0,3,0,0,9,0,0.15,0.00,0.15,0.15,0.15,1.0,1.0,0.3,1.3,0.05,0.02,0.07,0.05,0.07,Matches,2020-2021
18,Kwadwo Asamoah,gh GHA,"DF,MF",Cagliari,31,1988,9,1,224,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.00,0.03,0.03,0.03,Matches,2020-2021
19,Kristoffer Askildsen,no NOR,MF,Sampdoria,19,2001,6,0,95,1.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches,2020-2021
20,Emil Audero,it ITA,GK,Sampdoria,23,1997,37,37,"3,330",37.0,0,1,0,0,0,0,0,0.00,0.03,0.03,0.00,0.03,0.0,0.0,0.4,0.4,0.00,0.01,0.01,0.00,0.01,Matches,2020-2021
21,Tommaso Augello,it ITA,DF,Sampdoria,25,1994,37,37,"3,216",35.7,1,3,1,0,0,2,1,0.03,0.08,0.11,0.03,0.11,0.3,0.3,3.1,3.4,0.01,0.09,0.10,0.01,0.10,Matches,2020-2021
22,Kaan Ayhan,tr TUR,DF,Sassuolo,25,1994,19,7,796,8.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.05,0.00,0.06,0.05,0.06,Matches,2020-2021
23,Milan Badelj,hr CRO,MF,Genoa,31,1989,30,29,"2,408",26.8,1,4,1,0,0,7,0,0.04,0.15,0.19,0.04,0.19,0.5,0.5,2.8,3.3,0.02,0.10,0.12,0.02,0.12,Matches,2020-2021
24,Tiemoué Bakayoko,fr FRA,MF,Napoli,25,1994,32,23,"1,964",21.8,2,1,2,0,0,6,1,0.09,0.05,0.14,0.09,0.14,1.1,1.1,0.8,1.9,0.05,0.04,0.09,0.05,0.09,Matches,2020-2021
26,Keita Baldé,sn SEN,FW,Sampdoria,25,1995,25,12,"1,197",13.3,7,1,7,0,0,4,1,0.53,0.08,0.60,0.53,0.60,5.8,5.8,1.7,7.6,0.44,0.13,0.57,0.44,0.57,Matches,2020-2021
27,Botond Balogh,hu HUN,DF,Parma,18,2002,3,1,165,1.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
28,Mattia Bani,it ITA,DF,Parma,26,1993,15,14,"1,145",12.7,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.3,0.8,0.04,0.02,0.06,0.04,0.06,Matches,2020-2021
29,Mattia Bani,it ITA,DF,Genoa,26,1993,11,10,921,10.2,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.1,0.7,0.06,0.01,0.07,0.06,0.07,Matches,2020-2021
30,Antonín Barák,cz CZE,"MF,FW",Hellas Verona,25,1994,34,32,"2,765",30.7,7,3,7,0,0,5,1,0.23,0.10,0.33,0.23,0.33,5.8,5.8,2.8,8.6,0.19,0.09,0.28,0.19,0.28,Matches,2020-2021
31,Federico Barba,it ITA,DF,Benevento,26,1993,32,31,"2,659",29.5,0,2,0,0,0,8,0,0.00,0.07,0.07,0.00,0.07,1.0,1.0,1.7,2.7,0.03,0.06,0.09,0.03,0.09,Matches,2020-2021
32,Nicolò Barella,it ITA,MF,Inter,23,1997,36,32,"2,896",32.2,3,7,3,0,0,5,0,0.09,0.22,0.31,0.09,0.31,2.6,2.6,5.4,8.1,0.08,0.17,0.25,0.08,0.25,Matches,2020-2021
33,Antonio Barreca,it ITA,DF,Fiorentina,25,1995,3,1,85,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.3,0.25,0.04,0.29,0.25,0.29,Matches,2020-2021
34,Musa Barrow,gm GAM,"FW,MF",Bologna,21,1998,38,34,"2,921",32.5,8,8,8,0,1,0,0,0.25,0.25,0.49,0.25,0.49,8.9,8.0,5.1,13.2,0.27,0.16,0.43,0.25,0.41,Matches,2020-2021
35,Paolo Bartolomei,it ITA,MF,Spezia,30,1989,6,3,320,3.6,0,1,0,0,0,1,0,0.00,0.28,0.28,0.00,0.28,0.2,0.2,0.3,0.5,0.04,0.09,0.13,0.04,0.13,Matches,2020-2021
36,Daniele Baselli,it ITA,MF,Torino,28,1992,15,3,396,4.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.6,0.8,0.06,0.13,0.19,0.06,0.19,Matches,2020-2021
37,Alessandro Bastoni,it ITA,DF,Inter,21,1999,33,33,"2,922",32.5,0,3,0,0,0,6,0,0.00,0.09,0.09,0.00,0.09,1.2,1.2,1.8,3.0,0.04,0.05,0.09,0.04,0.09,Matches,2020-2021
38,Simone Bastoni,it ITA,DF,Spezia,23,1996,22,19,"1,522",16.9,1,7,1,0,0,7,0,0.06,0.41,0.47,0.06,0.47,1.4,1.4,3.4,4.8,0.08,0.20,0.28,0.08,0.28,Matches,2020-2021
39,Bastos,ao ANG,DF,Lazio,29,1991,2,0,63,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
40,Rodrigo Becão,br BRA,DF,Udinese,24,1996,35,32,"2,780",30.9,1,0,1,0,0,5,0,0.03,0.00,0.03,0.03,0.03,0.9,0.9,0.2,1.1,0.03,0.01,0.04,0.03,0.04,Matches,2020-2021
41,Valon Behrami,ch SUI,MF,Genoa,35,1985,26,8,892,9.9,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.4,0.04,0.01,0.04,0.04,0.04,Matches,2020-2021
42,Andrea Belotti,it ITA,FW,Torino,26,1993,35,33,"2,888",32.1,13,6,9,4,5,4,0,0.41,0.19,0.59,0.28,0.47,13.8,9.9,6.9,16.8,0.43,0.22,0.65,0.31,0.52,Matches,2020-2021
43,Ahmad Benali,ly LBY,MF,Crotone,28,1992,18,15,"1,214",13.5,0,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,0.8,0.8,1.2,2.0,0.06,0.09,0.15,0.06,0.15,Matches,2020-2021
44,Ismaël Bennacer,dz ALG,MF,Milan,22,1997,21,17,"1,326",14.7,0,2,0,0,0,4,0,0.00,0.14,0.14,0.00,0.14,0.7,0.7,0.5,1.2,0.05,0.03,0.08,0.05,0.08,Matches,2020-2021
45,Rodrigo Bentancur,uy URU,MF,Juventus,23,1997,33,27,"2,324",25.8,0,4,0,0,0,8,1,0.00,0.15,0.15,0.00,0.15,0.7,0.7,2.6,3.3,0.03,0.10,0.13,0.03,0.13,Matches,2020-2021
46,Alessandro Berardi,it ITA,GK,Hellas Verona,29,1991,1,0,28,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
47,Domenico Berardi,it ITA,"FW,MF",Sassuolo,25,1994,30,28,"2,475",27.5,17,7,10,7,8,4,0,0.62,0.25,0.87,0.36,0.62,14.6,8.5,5.2,13.7,0.53,0.19,0.72,0.31,0.50,Matches,2020-2021
48,Álex Berenguer,es ESP,MF,Torino,25,1995,2,2,131,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.22,0.00,0.22,0.22,0.22,Matches,2020-2021
49,Bartosz Bereszyński,pl POL,DF,Sampdoria,28,1992,31,29,"2,607",29.0,1,0,1,0,0,2,0,0.03,0.00,0.03,0.03,0.03,0.1,0.1,0.7,0.8,0.00,0.02,0.03,0.00,0.03,Matches,2020-2021
50,Federico Bernardeschi,it ITA,"DF,MF",Juventus,26,1994,27,8,972,10.8,0,2,0,0,0,3,0,0.00,0.19,0.19,0.00,0.19,1.5,1.5,2.1,3.7,0.14,0.20,0.34,0.14,0.34,Matches,2020-2021
52,Marco Bertini,it ITA,MF,Lazio,17,2002,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
53,Daniel Bessa,it ITA,"MF,FW",Hellas Verona,27,1993,18,4,615,6.8,0,2,0,0,0,1,0,0.00,0.29,0.29,0.00,0.29,0.8,0.8,1.5,2.3,0.11,0.22,0.33,0.11,0.33,Matches,2020-2021
54,Cristiano Biraghi,it ITA,DF,Fiorentina,27,1992,35,31,"2,803",31.1,1,5,1,0,0,8,0,0.03,0.16,0.19,0.03,0.19,2.0,2.0,6.8,8.8,0.06,0.22,0.28,0.06,0.28,Matches,2020-2021
55,Davide Biraschi,it ITA,DF,Genoa,26,1994,13,11,915,10.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Matches,2020-2021
56,Jeremie Boga,ci CIV,"FW,MF",Sassuolo,23,1997,27,20,"1,785",19.8,4,2,4,0,0,0,0,0.20,0.10,0.30,0.20,0.30,3.6,3.6,1.2,4.8,0.18,0.06,0.24,0.18,0.24,Matches,2020-2021
57,Giacomo Bonaventura,it ITA,MF,Fiorentina,30,1989,34,27,"2,256",25.1,3,2,3,0,0,5,0,0.12,0.08,0.20,0.12,0.20,2.8,2.8,3.2,6.0,0.11,0.13,0.24,0.11,0.24,Matches,2020-2021
58,Federico Bonazzoli,it ITA,FW,Sampdoria,23,1997,2,2,131,1.5,0,1,0,0,0,0,0,0.00,0.69,0.69,0.00,0.69,0.2,0.2,0.9,1.1,0.12,0.64,0.76,0.12,0.76,Matches,2020-2021
59,Federico Bonazzoli,it ITA,FW,Torino,23,1997,20,4,564,6.3,2,2,2,0,0,2,0,0.32,0.32,0.64,0.32,0.64,1.6,1.6,0.7,2.3,0.25,0.11,0.36,0.25,0.36,Matches,2020-2021
60,Kevin Bonifazi,it ITA,DF,Udinese,24,1996,30,28,"2,469",27.4,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.4,1.4,0.3,1.7,0.05,0.01,0.06,0.05,0.06,Matches,2020-2021
61,Leonardo Bonucci,it ITA,DF,Juventus,33,1987,26,23,"2,028",22.5,2,0,2,0,0,4,0,0.09,0.00,0.09,0.09,0.09,2.7,2.7,0.6,3.3,0.12,0.03,0.15,0.12,0.15,Matches,2020-2021
62,Mehdi Bourabia,ma MAR,MF,Sassuolo,28,1991,15,4,528,5.9,1,0,1,0,0,2,0,0.17,0.00,0.17,0.17,0.17,0.6,0.6,0.6,1.2,0.10,0.10,0.20,0.10,0.20,Matches,2020-2021
63,Edoardo Bove,it ITA,MF,Roma,18,2002,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
64,Jayden Braaf,nl NED,FW,Udinese,17,2002,4,1,116,1.3,1,0,1,0,0,0,0,0.78,0.00,0.78,0.78,0.78,0.2,0.2,0.1,0.3,0.16,0.08,0.24,0.16,0.24,Matches,2020-2021
65,Gleison Bremer,br BRA,DF,Torino,23,1997,33,33,"2,935",32.6,5,0,5,0,0,2,0,0.15,0.00,0.15,0.15,0.15,3.4,3.4,0.5,3.9,0.10,0.02,0.12,0.10,0.12,Matches,2020-2021
66,Marcelo Brozović,hr CRO,MF,Inter,27,1992,33,29,"2,581",28.7,2,6,2,0,0,9,1,0.07,0.21,0.28,0.07,0.28,1.8,1.8,4.3,6.2,0.06,0.15,0.22,0.06,0.22,Matches,2020-2021
67,Gastón Brugman,uy URU,MF,Parma,27,1992,26,21,"1,616",18.0,1,1,1,0,0,7,0,0.06,0.06,0.11,0.06,0.11,1.2,1.2,2.4,3.6,0.06,0.13,0.20,0.06,0.20,Matches,2020-2021
68,Juan Brunetta,ar ARG,"FW,MF",Parma,23,1997,12,4,475,5.3,1,2,1,0,0,3,0,0.19,0.38,0.57,0.19,0.57,1.3,1.3,0.7,2.0,0.24,0.13,0.38,0.24,0.38,Matches,2020-2021
69,Gianluigi Buffon,it ITA,GK,Juventus,42,1978,8,8,720,8.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
70,Alessandro Buongiorno,it ITA,DF,Torino,21,1999,12,9,858,9.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.02,0.00,0.02,0.02,0.02,Matches,2020-2021
71,Maxime Busi,be BEL,DF,Parma,20,1999,24,11,"1,195",13.3,0,1,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,0.5,0.5,1.4,1.9,0.04,0.10,0.14,0.04,0.14,Matches,2020-2021
72,Martín Cáceres,uy URU,DF,Fiorentina,33,1987,29,26,"2,238",24.9,2,2,2,0,0,4,0,0.08,0.08,0.16,0.08,0.16,1.3,1.3,1.1,2.4,0.05,0.04,0.09,0.05,0.09,Matches,2020-2021
73,Felipe Caicedo,ec ECU,FW,Lazio,31,1988,25,9,929,10.3,8,0,7,1,1,5,0,0.78,0.00,0.78,0.68,0.68,5.3,4.6,0.7,5.2,0.52,0.06,0.58,0.44,0.51,Matches,2020-2021
74,Arturo Calabresi,it ITA,DF,Cagliari,24,1996,2,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
75,Arturo Calabresi,it ITA,DF,Bologna,24,1996,1,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
76,Davide Calabria,it ITA,DF,Milan,23,1996,32,30,"2,647",29.4,2,1,2,0,0,7,0,0.07,0.03,0.10,0.07,0.10,1.2,1.2,1.8,3.0,0.04,0.06,0.10,0.04,0.10,Matches,2020-2021
78,Riccardo Calafiori,it ITA,DF,Roma,18,2002,3,1,66,0.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
79,Mattia Caldara,it ITA,DF,Atalanta,26,1994,6,1,111,1.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.20,0.00,0.20,0.20,0.20,Matches,2020-2021
80,Luca Caldirola,it ITA,DF,Benevento,29,1991,25,17,"1,572",17.5,2,0,2,0,0,6,1,0.11,0.00,0.11,0.11,0.11,1.0,1.0,0.2,1.2,0.06,0.01,0.07,0.06,0.07,Matches,2020-2021
81,Hakan Çalhanoğlu,tr TUR,"MF,FW",Milan,26,1994,33,30,"2,614",29.0,4,9,3,1,1,4,0,0.14,0.31,0.45,0.10,0.41,5.5,4.8,8.8,13.5,0.19,0.30,0.49,0.16,0.47,Matches,2020-2021
82,Fabrizio Caligara,it ITA,MF,Cagliari,20,2000,10,2,183,2.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.05,0.05,0.00,0.05,Matches,2020-2021
83,José Callejón,es ESP,"FW,MF",Fiorentina,33,1987,20,6,664,7.4,0,1,0,0,0,0,0,0.00,0.14,0.14,0.00,0.14,0.3,0.3,1.3,1.6,0.04,0.18,0.22,0.04,0.22,Matches,2020-2021
84,Drissa Camara,ci CIV,MF,Parma,18,2002,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
85,Antonio Candreva,it ITA,MF,Sampdoria,33,1987,35,28,"2,505",27.8,5,8,3,2,2,1,0,0.18,0.29,0.47,0.11,0.40,4.8,3.3,5.8,9.0,0.17,0.21,0.38,0.12,0.32,Matches,2020-2021
86,Elio Capradossi,it ITA,DF,Spezia,24,1996,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.13,0.00,0.13,0.13,0.13,Matches,2020-2021
87,Gianluca Caprari,it ITA,"MF,FW",Benevento,27,1993,30,23,"1,865",20.7,5,6,5,0,1,4,1,0.24,0.29,0.53,0.24,0.53,4.2,3.4,3.2,6.6,0.20,0.16,0.36,0.16,0.32,Matches,2020-2021
88,Francesco Caputo,it ITA,FW,Sassuolo,32,1987,25,19,"1,697",18.9,11,5,8,3,3,1,0,0.58,0.27,0.85,0.42,0.69,9.4,7.1,1.7,8.8,0.50,0.09,0.59,0.38,0.47,Matches,2020-2021
89,Andrea Carboni,it ITA,DF,Cagliari,19,2001,15,12,"1,085",12.1,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,0.2,0.2,0.7,0.9,0.02,0.06,0.08,0.02,0.08,Matches,2020-2021
90,Giuseppe Caso,it ITA,MF,Genoa,21,1998,2,0,54,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
91,Francesco Cassata,it ITA,"DF,MF",Genoa,23,1997,8,2,227,2.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.02,0.02,0.04,0.02,0.04,Matches,2020-2021
92,Samu Castillejo,es ESP,FW,Milan,25,1995,28,12,"1,181",13.1,1,0,1,0,0,5,0,0.08,0.00,0.08,0.08,0.08,2.0,2.0,0.7,2.7,0.15,0.05,0.21,0.15,0.21,Matches,2020-2021
93,Gaetano Castrovilli,it ITA,MF,Fiorentina,23,1997,34,29,"2,332",25.9,5,3,5,0,0,8,1,0.19,0.12,0.31,0.19,0.31,3.5,3.5,2.5,6.0,0.14,0.10,0.23,0.14,0.23,Matches,2020-2021
94,Danilo Cataldi,it ITA,MF,Lazio,25,1994,19,4,568,6.3,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.07,0.03,0.10,0.07,0.10,Matches,2020-2021
95,Federico Ceccherini,it ITA,DF,Hellas Verona,28,1992,25,23,"1,738",19.3,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.2,1.2,0.05,0.01,0.06,0.05,0.06,Matches,2020-2021
96,Federico Ceccherini,it ITA,DF,Fiorentina,28,1992,3,3,270,3.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
97,Luca Ceppitelli,it ITA,DF,Cagliari,30,1989,19,16,"1,465",16.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.02,0.00,0.03,0.02,0.03,Matches,2020-2021
98,Alberto Cerri,it ITA,"FW,MF",Cagliari,24,1996,23,3,369,4.1,1,0,1,0,0,1,0,0.24,0.00,0.24,0.24,0.24,2.5,2.5,0.8,3.4,0.61,0.20,0.82,0.61,0.82,Matches,2020-2021
99,Julian Chabot,de GER,DF,Spezia,22,1998,25,19,"1,655",18.4,1,1,1,0,0,11,1,0.05,0.05,0.11,0.05,0.11,0.6,0.6,0.2,0.8,0.03,0.01,0.05,0.03,0.05,Matches,2020-2021
100,Giorgio Chiellini,it ITA,DF,Juventus,35,1984,17,16,"1,386",15.4,0,1,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,0.6,0.6,0.0,0.6,0.04,0.00,0.04,0.04,0.04,Matches,2020-2021
101,Federico Chiesa,it ITA,"MF,DF",Juventus,22,1997,30,28,"2,210",24.6,8,8,8,0,0,3,1,0.33,0.33,0.65,0.33,0.65,6.0,6.0,6.5,12.5,0.24,0.26,0.51,0.24,0.51,Matches,2020-2021
102,Federico Chiesa,it ITA,DF,Fiorentina,22,1997,3,3,240,2.7,1,1,1,0,0,0,0,0.37,0.37,0.75,0.37,0.75,0.7,0.7,0.8,1.6,0.28,0.31,0.59,0.28,0.59,Matches,2020-2021
104,Vlad Chiricheș,ro ROU,DF,Sassuolo,30,1989,24,22,"1,837",20.4,2,1,2,0,0,6,0,0.10,0.05,0.15,0.10,0.15,1.1,1.1,0.7,1.8,0.05,0.03,0.09,0.05,0.09,Matches,2020-2021
105,Luca Cigarini,it ITA,MF,Crotone,34,1986,14,13,929,10.3,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.6,0.6,1.2,1.8,0.06,0.12,0.18,0.06,0.18,Matches,2020-2021
106,Antonio Cioffi,it ITA,FW,Napoli,17,2002,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.54,0.54,0.00,0.54,Matches,2020-2021
107,Ebrima Colley,gm GAM,"FW,MF",Hellas Verona,20,2000,23,4,734,8.2,1,0,1,0,0,1,0,0.12,0.00,0.12,0.12,0.12,1.9,1.9,0.7,2.5,0.23,0.08,0.31,0.23,0.31,Matches,2020-2021
108,Omar Colley,gm GAM,DF,Sampdoria,27,1992,29,28,"2,591",28.8,2,0,2,0,0,6,0,0.07,0.00,0.07,0.07,0.07,1.5,1.5,0.0,1.5,0.05,0.00,0.05,0.05,0.05,Matches,2020-2021
109,Simone Colombi,it ITA,GK,Parma,29,1991,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
110,Lorenzo Colombo,it ITA,FW,Milan,18,2002,4,1,94,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.0,0.6,0.58,0.00,0.58,0.58,0.58,Matches,2020-2021
111,Andrea Consigli,it ITA,GK,Sassuolo,33,1987,37,37,"3,330",37.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
112,Andrea Conti,it ITA,DF,Milan,26,1994,3,0,28,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.47,0.47,0.00,0.47,Matches,2020-2021
113,Andrea Conti,it ITA,DF,Parma,26,1994,11,9,809,9.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.4,0.7,0.03,0.04,0.08,0.03,0.08,Matches,2020-2021
114,Alex Cordaz,it ITA,GK,Crotone,37,1983,36,36,"3,240",36.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
115,Andreas Cornelius,dk DEN,FW,Parma,27,1993,29,21,"1,898",21.1,1,4,1,0,0,4,0,0.05,0.19,0.24,0.05,0.24,2.3,2.3,2.9,5.2,0.11,0.14,0.25,0.11,0.25,Matches,2020-2021
116,Joaquín Correa,ar ARG,FW,Lazio,25,1994,28,25,"1,933",21.5,8,3,7,1,1,3,1,0.37,0.14,0.51,0.33,0.47,8.3,7.8,2.0,9.8,0.39,0.09,0.48,0.36,0.46,Matches,2020-2021
