,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
116,Scott Dann,eng ENG,DF,Crystal Palace,33,1987,15,15,"1,350",15.0,1,0,1,0,0,1,0,0.07,0.00,0.07,0.07,0.07,0.3,0.3,0.0,0.4,0.02,0.00,0.02,0.02,0.02,Matches,2020-2021
117,Karl Darlow,eng ENG,GK,Newcastle Utd,29,1990,25,25,"2,250",25.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
118,Ben Davies,wls WAL,DF,Tottenham,27,1993,20,14,"1,346",15.0,0,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,0.2,0.2,0.6,0.9,0.01,0.04,0.06,0.01,0.06,Matches,2020-2021
119,Tom Davies,eng ENG,MF,Everton,22,1998,25,17,"1,423",15.8,0,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,0.2,0.2,1.0,1.1,0.01,0.06,0.07,0.01,0.07,Matches,2020-2021
120,Keinan Davis,eng ENG,"FW,MF",Aston Villa,22,1998,15,1,277,3.1,1,1,1,0,0,0,0,0.32,0.32,0.65,0.32,0.65,1.0,1.0,0.5,1.5,0.34,0.16,0.49,0.34,0.49,Matches,2020-2021
121,Leif Davis,eng ENG,DF,Leeds United,20,2000,2,0,33,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
122,Craig Dawson,eng ENG,DF,West Ham,30,1990,22,22,"1,925",21.4,3,0,3,0,0,5,1,0.14,0.00,0.14,0.14,0.14,1.7,1.7,0.0,1.7,0.08,0.00,0.08,0.08,0.08,Matches,2020-2021
123,Kevin De Bruyne,be BEL,MF,Manchester City,29,1991,25,23,"1,997",22.2,6,12,4,2,3,1,0,0.27,0.54,0.81,0.18,0.72,9.7,7.4,10.2,17.6,0.44,0.46,0.90,0.34,0.79,Matches,2020-2021
124,Liam Delap,eng ENG,FW,Manchester City,17,2003,1,0,40,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.06,0.00,0.06,0.06,0.06,Matches,2020-2021
125,Fabian Delph,eng ENG,"MF,DF",Everton,30,1989,8,2,266,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.03,0.04,0.01,0.04,Matches,2020-2021
126,Leander Dendoncker,be BEL,"MF,DF",Wolves,25,1995,33,28,"2,503",27.8,1,0,1,0,0,4,0,0.04,0.00,0.04,0.04,0.04,3.3,3.3,0.7,4.0,0.12,0.03,0.14,0.12,0.14,Matches,2020-2021
127,Mbaye Diagne,sn SEN,FW,West Brom,28,1991,16,14,"1,189",13.2,3,2,3,0,0,2,0,0.23,0.15,0.38,0.23,0.38,5.0,5.0,1.7,6.7,0.38,0.13,0.51,0.38,0.51,Matches,2020-2021
128,Amad Diallo,ci CIV,FW,Manchester Utd,18,2002,3,2,166,1.8,0,1,0,0,0,0,0,0.00,0.54,0.54,0.00,0.54,0.0,0.0,0.5,0.5,0.02,0.26,0.29,0.02,0.29,Matches,2020-2021
130,Ibrahima Diallo,fr FRA,MF,Southampton,21,1999,22,10,"1,020",11.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.6,1.2,0.05,0.05,0.11,0.05,0.11,Matches,2020-2021
131,Grady Diangana,eng ENG,"MF,FW",West Brom,22,1998,20,15,"1,235",13.7,1,0,1,0,0,0,0,0.07,0.00,0.07,0.07,0.07,1.2,1.2,0.2,1.4,0.09,0.01,0.10,0.09,0.10,Matches,2020-2021
132,Raphael Dias Belloli,br BRA,MF,Leeds United,23,1996,30,26,"2,360",26.2,6,9,6,0,0,3,0,0.23,0.34,0.57,0.23,0.57,6.0,6.0,8.1,14.1,0.23,0.31,0.54,0.23,0.54,Matches,2020-2021
133,Rúben Dias,pt POR,DF,Manchester City,23,1997,32,32,"2,843",31.6,1,0,1,0,0,4,0,0.03,0.00,0.03,0.03,0.03,2.4,2.4,0.1,2.4,0.07,0.00,0.08,0.07,0.08,Matches,2020-2021
134,Eric Dier,eng ENG,DF,Tottenham,26,1994,28,28,"2,520",28.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.1,1.0,0.03,0.00,0.03,0.03,0.03,Matches,2020-2021
135,Lucas Digne,fr FRA,DF,Everton,27,1993,30,30,"2,681",29.8,0,7,0,0,0,2,1,0.00,0.23,0.23,0.00,0.23,0.6,0.6,5.4,6.0,0.02,0.18,0.20,0.02,0.20,Matches,2020-2021
136,Virgil van Dijk,nl NED,DF,Liverpool,29,1991,5,5,370,4.1,1,0,1,0,0,1,0,0.24,0.00,0.24,0.24,0.24,0.3,0.3,0.0,0.3,0.08,0.00,0.08,0.08,0.08,Matches,2020-2021
137,Issa Diop,fr FRA,DF,West Ham,23,1997,18,15,"1,381",15.3,2,0,2,0,0,3,0,0.13,0.00,0.13,0.13,0.13,0.3,0.3,0.0,0.3,0.02,0.00,0.02,0.02,0.02,Matches,2020-2021
138,Moussa Djenepo,ml MLI,MF,Southampton,22,1998,27,15,"1,240",13.8,1,0,1,0,0,5,0,0.07,0.00,0.07,0.07,0.07,0.9,0.9,0.6,1.5,0.07,0.04,0.11,0.07,0.11,Matches,2020-2021
139,Matt Doherty,ie IRL,DF,Tottenham,28,1992,17,13,"1,240",13.8,0,2,0,0,0,4,1,0.00,0.15,0.15,0.00,0.15,0.4,0.4,0.8,1.2,0.03,0.06,0.09,0.03,0.09,Matches,2020-2021
140,Gabriel Dos Santos,br BRA,DF,Arsenal,22,1997,23,22,"1,996",22.2,2,0,2,0,0,4,1,0.09,0.00,0.09,0.09,0.09,1.0,1.0,0.1,1.1,0.05,0.00,0.05,0.05,0.05,Matches,2020-2021
141,Abdoulaye Doucouré,ml MLI,MF,Everton,27,1993,29,29,"2,443",27.1,2,3,2,0,0,6,0,0.07,0.11,0.18,0.07,0.18,2.1,2.1,2.2,4.3,0.08,0.08,0.16,0.08,0.16,Matches,2020-2021
142,Martin Dúbravka,sk SVK,GK,Newcastle Utd,31,1989,13,13,"1,170",13.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
143,Paul Dummett,wls WAL,DF,Newcastle Utd,28,1991,15,14,"1,255",13.9,1,0,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,0.3,0.3,0.5,0.8,0.02,0.04,0.06,0.02,0.06,Matches,2020-2021
144,Lewis Dunk,eng ENG,DF,Brighton,28,1991,33,33,"2,931",32.6,5,0,5,0,0,5,2,0.15,0.00,0.15,0.15,0.15,2.5,2.5,0.9,3.4,0.08,0.03,0.10,0.08,0.10,Matches,2020-2021
145,Jimmy Dunne,ie IRL,DF,Burnley,22,1997,3,3,270,3.0,1,0,1,0,0,1,0,0.33,0.00,0.33,0.33,0.33,0.4,0.4,0.1,0.5,0.14,0.04,0.17,0.14,0.17,Matches,2020-2021
146,Ederson,br BRA,GK,Manchester City,26,1993,36,36,"3,240",36.0,0,1,0,0,0,3,0,0.00,0.03,0.03,0.00,0.03,0.0,0.0,0.4,0.4,0.00,0.01,0.01,0.00,0.01,Matches,2020-2021
147,Kyle Edwards,eng ENG,"MF,FW",West Brom,22,1998,5,1,118,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.11,0.00,0.11,0.11,0.11,Matches,2020-2021
148,John Egan,ie IRL,DF,Sheffield Utd,27,1992,31,30,"2,629",29.2,0,1,0,0,0,7,1,0.00,0.03,0.03,0.00,0.03,0.7,0.7,0.3,1.0,0.02,0.01,0.03,0.02,0.03,Matches,2020-2021
149,Anthony Elanga,se SWE,FW,Manchester Utd,18,2002,2,2,155,1.7,1,0,1,0,0,0,0,0.58,0.00,0.58,0.58,0.58,0.3,0.3,0.0,0.3,0.16,0.02,0.18,0.16,0.18,Matches,2020-2021
150,Ahmed Elmohamady,eg EGY,DF,Aston Villa,32,1987,14,8,839,9.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.6,1.1,0.05,0.07,0.12,0.05,0.12,Matches,2020-2021
151,Mohamed Elneny,eg EGY,MF,Arsenal,28,1992,23,17,"1,544",17.2,1,0,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,0.5,0.5,0.2,0.7,0.03,0.01,0.04,0.03,0.04,Matches,2020-2021
152,Jonny Evans,nir NIR,DF,Leicester City,32,1988,28,28,"2,473",27.5,2,2,2,0,0,7,0,0.07,0.07,0.15,0.07,0.15,1.7,1.7,0.3,2.0,0.06,0.01,0.07,0.06,0.07,Matches,2020-2021
153,Eberechi Eze,eng ENG,MF,Crystal Palace,22,1998,34,29,"2,559",28.4,4,6,4,0,0,3,0,0.14,0.21,0.35,0.14,0.35,2.2,2.2,2.8,5.1,0.08,0.10,0.18,0.08,0.18,Matches,2020-2021
154,Łukasz Fabiański,pl POL,GK,West Ham,35,1985,35,35,"3,150",35.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
156,Fabinho,br BRA,"DF,MF",Liverpool,26,1993,30,28,"2,567",28.5,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.8,0.02,0.01,0.03,0.02,0.03,Matches,2020-2021
157,Bruno Fernandes,pt POR,MF,Manchester Utd,25,1994,37,35,"3,099",34.4,18,12,9,9,10,6,0,0.52,0.35,0.87,0.26,0.61,15.4,7.8,11.0,18.8,0.45,0.32,0.77,0.23,0.55,Matches,2020-2021
158,Federico Fernández,ar ARG,DF,Newcastle Utd,31,1989,24,24,"2,079",23.1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.3,0.6,0.01,0.01,0.03,0.01,0.03,Matches,2020-2021
159,Fernandinho,br BRA,MF,Manchester City,35,1985,21,12,"1,188",13.2,0,2,0,0,0,6,0,0.00,0.15,0.15,0.00,0.15,0.8,0.8,0.9,1.7,0.06,0.07,0.13,0.06,0.13,Matches,2020-2021
160,Sam Field,eng ENG,MF,West Brom,22,1998,3,0,62,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
161,Roberto Firmino,br BRA,FW,Liverpool,28,1991,36,33,"2,838",31.5,9,7,9,0,0,2,0,0.29,0.22,0.51,0.29,0.51,12.6,12.6,6.4,19.0,0.40,0.20,0.60,0.40,0.60,Matches,2020-2021
162,John Fleck,sct SCO,MF,Sheffield Utd,28,1991,31,29,"2,575",28.6,0,2,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,0.9,0.9,2.7,3.5,0.03,0.09,0.12,0.03,0.12,Matches,2020-2021
163,Phil Foden,eng ENG,"FW,MF",Manchester City,20,2000,28,17,"1,616",18.0,9,5,9,0,0,0,0,0.50,0.28,0.78,0.50,0.78,5.5,5.5,4.1,9.7,0.31,0.23,0.54,0.31,0.54,Matches,2020-2021
164,Wesley Fofana,fr FRA,DF,Leicester City,19,2000,28,27,"2,262",25.1,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.3,1.3,0.04,0.01,0.05,0.04,0.05,Matches,2020-2021
165,Pablo Fornals,es ESP,"FW,MF",West Ham,24,1996,33,31,"2,572",28.6,5,4,5,0,0,3,0,0.17,0.14,0.31,0.17,0.31,6.5,6.5,2.5,9.0,0.23,0.09,0.32,0.23,0.32,Matches,2020-2021
166,Fraser Forster,eng ENG,GK,Southampton,32,1988,8,8,720,8.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
167,Timothy Fosu-Mensah,nl NED,DF,Manchester Utd,22,1998,1,1,80,0.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.03,0.31,0.34,0.03,0.34,Matches,2020-2021
168,Tyrese Francois,au AUS,DF,Fulham,20,2000,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
169,Ryan Fraser,sct SCO,"FW,MF",Newcastle Utd,26,1994,18,9,928,10.3,0,2,0,0,0,2,1,0.00,0.19,0.19,0.00,0.19,0.9,0.9,2.1,3.0,0.09,0.20,0.29,0.09,0.29,Matches,2020-2021
170,Fred,br BRA,MF,Manchester Utd,27,1993,30,27,"2,390",26.6,1,0,1,0,0,5,0,0.04,0.00,0.04,0.04,0.04,1.9,1.9,2.5,4.5,0.07,0.10,0.17,0.07,0.17,Matches,2020-2021
171,Ryan Fredericks,eng ENG,"DF,FW",West Ham,27,1992,14,6,569,6.3,1,1,1,0,0,2,0,0.16,0.16,0.32,0.16,0.32,0.3,0.3,1.2,1.5,0.05,0.19,0.24,0.05,0.24,Matches,2020-2021
172,Christian Fuchs,at AUT,DF,Leicester City,34,1986,9,8,702,7.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Matches,2020-2021
173,Darnell Furlong,eng ENG,DF,West Brom,24,1995,35,32,"2,932",32.6,1,3,1,0,0,5,0,0.03,0.09,0.12,0.03,0.12,2.0,2.0,2.1,4.1,0.06,0.06,0.13,0.06,0.13,Matches,2020-2021
174,Conor Gallagher,eng ENG,MF,West Brom,20,2000,30,28,"2,531",28.1,2,2,2,0,0,11,0,0.07,0.07,0.14,0.07,0.14,1.8,1.8,1.6,3.4,0.06,0.06,0.12,0.06,0.12,Matches,2020-2021
175,Eric García,es ESP,DF,Manchester City,19,2001,6,3,383,4.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.03,0.02,0.05,0.03,0.05,Matches,2020-2021
176,Dwight Gayle,eng ENG,"FW,MF",Newcastle Utd,29,1990,18,4,514,5.7,1,1,1,0,0,0,0,0.18,0.18,0.35,0.18,0.35,2.0,2.0,0.5,2.6,0.36,0.09,0.45,0.36,0.45,Matches,2020-2021
177,Jean-Philippe Gbamin,ci CIV,MF,Everton,24,1995,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
178,David de Gea,es ESP,GK,Manchester Utd,29,1990,26,26,"2,295",25.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
179,Anwar El Ghazi,nl NED,FW,Aston Villa,25,1995,28,17,"1,613",17.9,10,0,6,4,4,2,0,0.56,0.00,0.56,0.33,0.33,8.1,5.1,2.3,7.3,0.45,0.13,0.58,0.28,0.41,Matches,2020-2021
180,Kieran Gibbs,eng ENG,DF,West Brom,30,1989,10,9,809,9.0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.01,0.03,0.04,0.01,0.04,Matches,2020-2021
182,Morgan Gibbs-White,eng ENG,"MF,FW",Wolves,20,2000,11,4,414,4.6,1,0,1,0,0,1,0,0.22,0.00,0.22,0.22,0.22,1.0,1.0,0.6,1.6,0.21,0.13,0.34,0.21,0.34,Matches,2020-2021
183,Billy Gilmour,sct SCO,MF,Chelsea,19,2001,5,3,261,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.01,0.04,0.06,0.01,0.06,Matches,2020-2021
184,Olivier Giroud,fr FRA,FW,Chelsea,33,1986,17,8,748,8.3,4,0,4,0,0,1,0,0.48,0.00,0.48,0.48,0.48,4.8,4.8,0.7,5.5,0.58,0.09,0.66,0.58,0.66,Matches,2020-2021
185,Ben Godfrey,eng ENG,DF,Everton,22,1998,31,29,"2,685",29.8,0,2,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,0.9,0.9,0.5,1.4,0.03,0.02,0.05,0.03,0.05,Matches,2020-2021
186,André Gomes,pt POR,MF,Everton,27,1993,28,17,"1,570",17.4,0,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,0.5,0.5,1.0,1.4,0.03,0.05,0.08,0.03,0.08,Matches,2020-2021
187,Joe Gomez,eng ENG,DF,Liverpool,23,1997,7,6,590,6.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
188,Anthony Gordon,eng ENG,"FW,MF",Everton,19,2001,3,1,88,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.03,0.03,0.00,0.03,Matches,2020-2021
189,Karlan Grant,eng ENG,"FW,MF",West Brom,22,1997,21,14,"1,127",12.5,1,0,1,0,0,1,0,0.08,0.00,0.08,0.08,0.08,2.1,2.1,0.0,2.1,0.17,0.00,0.17,0.17,0.17,Matches,2020-2021
190,Demarai Gray,eng ENG,FW,Leicester City,24,1996,1,0,19,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.43,0.00,0.43,0.43,0.43,Matches,2020-2021
191,Jack Grealish,eng ENG,"FW,MF",Aston Villa,24,1995,26,24,"2,185",24.3,6,10,6,0,0,6,0,0.25,0.41,0.66,0.25,0.66,4.3,4.3,8.6,12.9,0.18,0.35,0.53,0.18,0.53,Matches,2020-2021
192,Mason Greenwood,eng ENG,FW,Manchester Utd,18,2001,31,21,"1,822",20.2,7,2,7,0,0,2,0,0.35,0.10,0.44,0.35,0.44,7.4,7.4,1.8,9.2,0.37,0.09,0.45,0.37,0.45,Matches,2020-2021
193,Pascal Groß,de GER,"MF,DF",Brighton,29,1991,34,27,"2,484",27.6,3,8,0,3,4,3,0,0.11,0.29,0.40,0.00,0.29,5.6,2.5,5.5,8.0,0.20,0.20,0.40,0.09,0.29,Matches,2020-2021
194,Kamil Grosicki,pl POL,"FW,MF",West Brom,32,1988,3,2,148,1.6,0,1,0,0,0,0,0,0.00,0.61,0.61,0.00,0.61,0.1,0.1,0.1,0.2,0.06,0.07,0.13,0.06,0.13,Matches,2020-2021
195,Vicente Guaita,es ESP,GK,Crystal Palace,33,1987,37,37,"3,330",37.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
196,İlkay Gündoğan,de GER,MF,Manchester City,29,1990,28,23,"2,029",22.5,13,2,12,1,2,1,0,0.58,0.09,0.67,0.53,0.62,9.0,7.5,4.5,12.0,0.40,0.20,0.60,0.33,0.53,Matches,2020-2021
197,Antwoine Hackford,eng ENG,"FW,DF",Sheffield Utd,16,2004,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,1.16,0.00,1.16,1.16,1.16,Matches,2020-2021
198,Sébastien Haller,ci CIV,FW,West Ham,26,1994,16,10,937,10.4,3,0,3,0,0,0,0,0.29,0.00,0.29,0.29,0.29,2.9,2.9,1.2,4.1,0.28,0.12,0.40,0.28,0.40,Matches,2020-2021
199,Rekeem Harper,eng ENG,MF,West Brom,20,2000,2,0,32,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.12,0.00,0.12,0.12,0.12,Matches,2020-2021
200,Jack Harrison,eng ENG,MF,Leeds United,23,1996,36,34,"2,847",31.6,8,8,8,0,0,2,0,0.25,0.25,0.51,0.25,0.51,6.6,6.6,7.1,13.7,0.21,0.22,0.43,0.21,0.43,Matches,2020-2021
201,Kortney Hause,eng ENG,DF,Aston Villa,25,1995,7,7,630,7.0,1,0,1,0,0,2,0,0.14,0.00,0.14,0.14,0.14,1.2,1.2,0.0,1.2,0.17,0.00,0.17,0.17,0.17,Matches,2020-2021
202,Kai Havertz,de GER,"MF,FW",Chelsea,21,1999,27,18,"1,520",16.9,4,3,4,0,0,2,0,0.24,0.18,0.41,0.24,0.41,6.3,6.3,1.6,7.8,0.37,0.09,0.46,0.37,0.46,Matches,2020-2021
203,Isaac Hayden,eng ENG,"MF,DF",Newcastle Utd,25,1995,24,22,"1,942",21.6,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.4,0.9,0.02,0.02,0.04,0.02,0.04,Matches,2020-2021
204,Michael Hector,jm JAM,DF,Fulham,28,1992,4,3,263,2.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.01,0.04,0.03,0.04,Matches,2020-2021
205,Ahmed Hegazi,eg EGY,DF,West Brom,29,1991,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
206,Dean Henderson,eng ENG,GK,Manchester Utd,23,1997,13,12,"1,125",12.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
208,Jordan Henderson,eng ENG,"MF,DF",Liverpool,30,1990,21,20,"1,704",18.9,1,1,1,0,0,0,0,0.05,0.05,0.11,0.05,0.11,1.7,1.7,1.4,3.0,0.09,0.07,0.16,0.09,0.16,Matches,2020-2021
209,Jeff Hendrick,ie IRL,MF,Newcastle Utd,28,1992,22,17,"1,422",15.8,2,1,2,0,0,3,1,0.13,0.06,0.19,0.13,0.19,1.1,1.1,0.7,1.8,0.07,0.05,0.11,0.07,0.11,Matches,2020-2021
210,Pablo Hernández,es ESP,"MF,FW",Leeds United,35,1985,16,3,427,4.7,0,2,0,0,0,1,0,0.00,0.42,0.42,0.00,0.42,1.2,1.2,0.7,1.8,0.25,0.14,0.39,0.25,0.39,Matches,2020-2021
211,Son Heung-min,kr KOR,FW,Tottenham,28,1992,37,36,"3,114",34.6,17,10,16,1,1,0,0,0.49,0.29,0.78,0.46,0.75,10.3,9.5,8.9,18.4,0.30,0.26,0.55,0.27,0.53,Matches,2020-2021
212,Ki-Jana Hoever,nl NED,DF,Wolves,18,2002,12,5,577,6.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.01,0.03,0.04,0.01,0.04,Matches,2020-2021
213,Rob Holding,eng ENG,DF,Arsenal,24,1995,30,28,"2,558",28.4,0,1,0,0,0,2,0,0.00,0.04,0.04,0.00,0.04,1.1,1.1,0.2,1.4,0.04,0.01,0.05,0.04,0.05,Matches,2020-2021
214,Mason Holgate,eng ENG,DF,Everton,23,1996,28,26,"2,287",25.4,1,0,1,0,0,9,0,0.04,0.00,0.04,0.04,0.04,0.8,0.8,0.6,1.4,0.03,0.03,0.06,0.03,0.06,Matches,2020-2021
215,Conor Hourihane,ie IRL,MF,Aston Villa,29,1991,4,3,225,2.5,1,1,1,0,0,0,0,0.40,0.40,0.80,0.40,0.80,0.5,0.5,0.8,1.3,0.20,0.32,0.52,0.20,0.52,Matches,2020-2021
216,Callum Hudson-Odoi,eng ENG,"FW,DF",Chelsea,19,2000,23,10,"1,059",11.8,2,3,2,0,0,0,0,0.17,0.25,0.42,0.17,0.42,1.4,1.4,3.1,4.5,0.12,0.26,0.38,0.12,0.38,Matches,2020-2021
217,Niall Huggins,wls WAL,DF,Leeds United,19,2000,1,0,38,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
218,Pierre Højbjerg,dk DEN,MF,Tottenham,24,1995,38,38,"3,420",38.0,2,4,2,0,0,9,0,0.05,0.11,0.16,0.05,0.16,1.1,1.1,1.9,3.0,0.03,0.05,0.08,0.03,0.08,Matches,2020-2021
219,Odion Ighalo,ng NGA,FW,Manchester Utd,31,1989,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
220,Kelechi Iheanacho,ng NGA,FW,Leicester City,23,1996,25,16,"1,459",16.2,12,2,12,0,1,1,0,0.74,0.12,0.86,0.74,0.86,7.8,7.0,2.9,10.0,0.48,0.18,0.66,0.43,0.62,Matches,2020-2021
221,Danny Ings,eng ENG,FW,Southampton,28,1992,29,26,"2,173",24.1,12,4,10,2,2,1,0,0.50,0.17,0.66,0.41,0.58,8.3,6.7,2.6,9.3,0.34,0.11,0.45,0.28,0.39,Matches,2020-2021
222,Branislav Ivanović,rs SRB,DF,West Brom,36,1984,13,8,767,8.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.1,0.6,0.06,0.01,0.07,0.06,0.07,Matches,2020-2021
223,Alex Iwobi,ng NGA,"FW,DF",Everton,24,1996,30,17,"1,542",17.1,1,2,1,0,0,0,0,0.06,0.12,0.18,0.06,0.18,1.1,1.1,1.8,2.9,0.06,0.11,0.17,0.06,0.17,Matches,2020-2021
224,José Izquierdo,co COL,DF,Brighton,28,1992,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.12,0.00,0.12,0.12,0.12,Matches,2020-2021
225,Phil Jagielka,eng ENG,DF,Sheffield Utd,37,1982,10,6,526,5.8,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
226,Alireza Jahanbakhsh,ir IRN,"FW,MF",Brighton,26,1993,21,6,528,5.9,0,1,0,0,0,3,0,0.00,0.17,0.17,0.00,0.17,1.6,1.6,3.2,4.8,0.28,0.54,0.82,0.28,0.82,Matches,2020-2021
227,Daniel James,wls WAL,FW,Manchester Utd,22,1997,15,11,910,10.1,3,1,3,0,0,3,0,0.30,0.10,0.40,0.30,0.40,2.3,2.3,1.2,3.5,0.23,0.12,0.34,0.23,0.34,Matches,2020-2021
228,Reece James,eng ENG,DF,Chelsea,20,1999,32,25,"2,373",26.4,1,2,1,0,0,3,0,0.04,0.08,0.11,0.04,0.11,1.6,1.6,3.0,4.6,0.06,0.12,0.18,0.06,0.18,Matches,2020-2021
229,Alexandre Jankewitz,ch SUI,MF,Southampton,18,2001,2,1,3,0.0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
230,Daniel Jebbison,eng ENG,FW,Sheffield Utd,17,2003,4,3,284,3.2,1,0,1,0,0,0,0,0.32,0.00,0.32,0.32,0.32,1.6,1.6,0.0,1.6,0.50,0.01,0.51,0.50,0.51,Matches,2020-2021
231,Gabriel Jesus,br BRA,FW,Manchester City,23,1997,29,22,"2,063",22.9,9,4,9,0,0,2,0,0.39,0.17,0.57,0.39,0.57,8.8,8.8,3.4,12.2,0.38,0.15,0.53,0.38,0.53,Matches,2020-2021
